time,area,weather,max_temperature,min_temperature,aqi,aqiLevel,wind_direction,wind_power,aqiInfo
20210101,溧水,阴-晴,4,-6,47,1,西南风,2级,优
20210102,溧水,多云-晴,8,-2,60,2,东风,2级,良
20210103,溧水,多云,10,0,69,2,东风,3级,良
20210104,溧水,阴-小雨,10,3,57,2,东北风,2级,良
20210105,溧水,阴,7,-1,73,2,东北风,3级,良
20210106,溧水,阴-多云,3,-7,54,2,北风,3级,良
20210107,溧水,多云,-3,-7,72,2,北风,4级,良
20210108,溧水,多云-晴,0,-7,49,1,西北风,3级,优
20210109,溧水,晴-多云,4,-6,48,1,西风,2级,优
20210110,溧水,多云-晴,4,-6,57,2,西北风,1级,良
20210111,溧水,阴-晴,6,-6,67,2,西风,3级,良
20210112,溧水,晴,10,1,79,2,西南风,4级,良
20210113,溧水,晴-多云,15,0,60,2,西南风,3级,良
20210114,溧水,多云-晴,19,0,64,2,南风,2级,良
20210115,溧水,多云,17,0,102,3,西北风,3级,轻度
20210116,溧水,阴,5,-2,83,2,东北风,3级,良
20210117,溧水,多云-晴,6,-3,66,2,西南风,2级,良
20210118,溧水,晴,11,-2,76,2,西南风,2级,良
20210119,溧水,晴-多云,11,1,81,2,东南风,微风,良
20210120,溧水,多云-小雨,16,8,64,2,东南风,2级,良
20210121,溧水,小雨,11,8,91,2,北风,微风,良
20210122,溧水,小雨,9,5,113,3,东北风,2级,轻度
20210123,溧水,小雨-多云,6,0,72,2,东北风,微风,良
20210124,溧水,多云-阴,8,6,98,2,东风,3级,良
20210125,溧水,阴-小雨,11,6,85,2,东南风,3级,良
20210126,溧水,小雨,5,2,106,3,西北风,3级,轻度
20210127,溧水,阴-晴,8,4,92,2,东风,微风,良
20210128,溧水,阴-晴,11,-4,100,2,西北风,3级,良
20210129,溧水,晴,10,-1,80,2,东南风,2级,良
20210130,溧水,多云,16,7,64,2,东南风,2级,良
20210131,溧水,阴-小雨,13,8,75,2,西南风,微风,良
20210201,溧水,小雨-多云,9,0,71,2,西南风,2级,良
20210202,溧水,晴-多云,7,2,95,2,东北风,3级,良
20210203,溧水,多云-晴,16,2,75,2,东南风,2级,良
20210204,溧水,晴-小雨,12,5,86,2,东北风,3级,良
20210205,溧水,小雨-多云,9,4,81,2,东南风,2级,良
20210206,溧水,多云-晴,16,4,68,2,西南风,2级,良
20210207,溧水,多云-阴,20,5,63,2,东北风,2级,良
20210208,溧水,阴-多云,9,-1,48,1,东北风,微风,优
20210209,溧水,阴,12,4,32,1,东南风,3级,优
20210210,溧水,阴-小雨,12,7,38,1,东风,2级,优
20210211,溧水,中雨-阴,10,8,34,1,东南风,3级,优
20210212,溧水,阴-多云,14,6,38,1,东南风,3级,优
20210213,溧水,多云,17,9,40,1,东南风,3级,优
20210214,溧水,小雨-多云,19,8,46,1,西风,3级,优
20210215,溧水,阴-多云,11,2,76,2,东北风,微风,良
20210216,溧水,多云-晴,15,0,65,2,东北风,2级,良
20210217,溧水,晴,9,0,38,1,东北风,3级,优
20210218,溧水,晴,12,1,49,1,北风,微风,优
20210219,溧水,晴,19,10,45,1,西南风,3级,优
20210220,溧水,晴,24,13,42,1,西南风,微风,优
20210221,溧水,晴,25,14,45,1,西南风,3级,优
20210222,溧水,阴-多云,26,4,58,2,东北风,3级,良
20210223,溧水,阴-多云,14,4,42,1,东风,4级,优
20210224,溧水,阴-小雨,15,10,38,1,东风,4级,优
20210225,溧水,中雨-小雨,11,7,28,1,东北风,3级,优
20210226,溧水,小雨,8,5,31,1,东北风,4级,优
20210227,溧水,小雨-阴,13,8,44,1,东风,3级,优
20210228,溧水,阴-小雨,13,11,39,1,东南风,3级,优
20210301,溧水,中雨-阵雨,11,0,30,1,西北风,3级,优
20210302,溧水,晴-多云,11,3,42,1,东北风,微风,优
20210303,溧水,阴-小雨,10,6,49,1,东南风,3级,优
20210304,溧水,多云,16,5,48,1,西南风,2级,优
20210305,溧水,阴-小雨,13,9,62,2,东南风,3级,良
20210306,溧水,阴-阵雨,10,4,59,2,东北风,4级,良
20210307,溧水,小雨-阴,7,6,51,2,东北风,2级,良
20210308,溧水,阴-小雨,12,7,61,2,东风,3级,良
20210309,溧水,阴-多云,10,5,45,1,东风,2级,优
20210310,溧水,晴-小雨,15,9,50,1,东南风,3级,优
20210311,溧水,小雨-多云,10,7,57,2,东风,2级,良
20210312,溧水,阴,13,7,58,2,西北风,2级,良
20210313,溧水,阴-多云,15,6,58,2,东风,2级,良
20210314,溧水,晴-多云,20,10,74,2,东南风,微风,良
20210315,溧水,小雨,21,12,93,2,东南风,2级,良
20210316,溧水,阴,14,7,79,2,东北风,微风,良
20210317,溧水,小雨,10,9,68,2,东风,3级,良
20210318,溧水,阴-小雨,13,10,53,2,东北风,3级,良
20210319,溧水,小雨,11,10,35,1,东北风,3级,优
20210320,溧水,小雨-多云,11,9,53,2,西北风,2级,良
20210321,溧水,多云,15,1,93,2,西北风,3级,良
20210322,溧水,晴,15,2,57,2,西北风,2级,良
20210323,溧水,阴-多云,19,10,50,1,南风,2级,优
20210324,溧水,晴,20,8,53,2,西南风,2级,良
20210325,溧水,晴,22,10,61,2,东南风,2级,良
20210326,溧水,多云-雷阵雨,26,16,58,2,东南风,3级,良
20210327,溧水,小雨-多云,16,9,54,2,西风,2级,良
20210328,溧水,雾-晴,23,12,56,2,西南风,2级,良
20210329,溧水,阴,25,15,78,2,东风,3级,良
20210330,溧水,阴-大雨,20,13,127,3,东北风,4级,轻度
20210331,溧水,小雨,15,14,133,3,东风,4级,轻度
20210401,溧水,中雨-阴,13,12,31,1,东北风,微风,优
20210402,溧水,阴-小雨,16,13,33,1,西北风,2级,优
20210403,溧水,阴,14,9,34,1,西北风,3级,优
20210404,溧水,晴,17,4,42,1,北风,3级,优
20210405,溧水,阴-多云,17,11,37,1,东风,2级,优
20210406,溧水,多云,21,11,51,2,东北风,2级,良
20210407,溧水,小雨,16,10,60,2,东风,3级,良
20210408,溧水,多云-晴,18,5,46,1,东风,3级,优
20210409,溧水,晴-多云,20,6,51,2,东风,3级,良
20210410,溧水,多云,19,12,46,1,东风,微风,优
20210411,溧水,小雨-雷阵雨,18,15,38,1,东南风,3级,优
20210412,溧水,小雨-多云,17,12,45,1,西风,微风,优
20210413,溧水,多云-阴,20,10,66,2,东北风,3级,良
20210414,溧水,阴,14,9,44,1,东风,3级,优
20210415,溧水,阴-多云,20,13,42,1,东南风,2级,优
20210416,溧水,阴-多云,23,11,72,2,西北风,2级,良
