time,area,weather,max_temperature,min_temperature,aqi,aqiLevel,wind_direction,wind_power,aqiInfo
20210101,滨湖,晴,5,-4,54,2,西风,2级,良
20210102,滨湖,多云-晴,7,-2,66,2,东北风,2级,良
20210103,滨湖,雾-多云,11,3,73,2,东风,3级,良
20210104,滨湖,阴-小雨,11,5,58,2,东风,3级,良
20210105,滨湖,阴,8,0,59,2,东北风,4级,良
20210106,滨湖,阴-多云,4,-7,63,2,北风,3级,良
20210107,滨湖,阴-多云,-4,-7,84,2,西北风,4级,良
20210108,滨湖,多云-晴,0,-7,59,2,西北风,4级,良
20210109,滨湖,晴,4,-5,60,2,西北风,3级,良
20210110,滨湖,阴-多云,5,-3,74,2,西北风,2级,良
20210111,滨湖,阴-晴,6,-3,83,2,西北风,3级,良
20210112,滨湖,晴,10,0,102,3,西南风,4级,轻度
20210113,滨湖,晴-多云,16,2,72,2,南风,3级,良
20210114,滨湖,多云-晴,17,2,86,2,东南风,2级,良
20210115,滨湖,晴-阴,18,1,104,3,西北风,3级,轻度
20210116,滨湖,阴-多云,5,-1,85,2,东北风,4级,良
20210117,滨湖,多云-晴,6,-2,71,2,西北风,微风,良
20210118,滨湖,晴,10,0,84,2,西南风,2级,良
20210119,滨湖,晴,12,3,91,2,东南风,4级,良
20210120,滨湖,多云-小雨,17,9,49,1,东南风,微风,优
20210121,滨湖,小雨,14,8,49,1,北风,2级,优
20210122,滨湖,中雨,10,6,51,2,东北风,微风,良
20210123,滨湖,小雨-多云,7,1,71,2,北风,3级,良
20210124,滨湖,多云-阴,8,6,114,3,东北风,2级,轻度
20210125,滨湖,阴-小雨,13,8,60,2,东南风,微风,良
20210126,滨湖,小雨-多云,7,3,60,2,西北风,3级,良
20210127,滨湖,多云,10,4,75,2,东北风,2级,良
20210128,滨湖,晴,10,-3,113,3,西北风,4级,轻度
20210129,滨湖,晴,9,0,84,2,东南风,3级,良
20210130,滨湖,晴-多云,14,7,75,2,东南风,3级,良
20210131,滨湖,阴-小雨,14,8,79,2,南风,2级,良
20210201,滨湖,小雨-多云,10,2,75,2,西风,2级,良
20210202,滨湖,晴-多云,9,2,89,2,东北风,3级,良
20210203,滨湖,晴,15,5,68,2,东南风,3级,良
20210204,滨湖,晴-小雨,13,6,83,2,东北风,3级,良
20210205,滨湖,小雨-多云,10,5,60,2,东南风,2级,良
20210206,滨湖,晴,17,4,62,2,西南风,2级,良
20210207,滨湖,晴-阵雨,20,4,55,2,东北风,2级,良
20210208,滨湖,阴-多云,9,1,47,1,东北风,4级,优
20210209,滨湖,多云-晴,12,5,28,1,东南风,3级,优
20210210,滨湖,阴-小雨,12,7,32,1,东南风,3级,优
20210211,滨湖,小雨-阴,10,7,34,1,东南风,3级,优
20210212,滨湖,多云-阴,13,7,44,1,东南风,3级,优
20210213,滨湖,多云,17,9,46,1,东南风,微风,优
20210214,滨湖,小雨-晴,20,8,44,1,西南风,3级,优
20210215,滨湖,阴,12,3,66,2,东北风,3级,良
20210216,滨湖,多云-晴,14,0,51,2,东风,3级,良
20210217,滨湖,晴,8,-3,50,1,东北风,3级,优
20210218,滨湖,晴,10,1,48,1,西北风,2级,优
20210219,滨湖,多云-晴,18,8,46,1,西南风,3级,优
20210220,滨湖,晴,23,8,40,1,西南风,3级,优
20210221,滨湖,晴,25,11,36,1,南风,3级,优
20210222,滨湖,阴-多云,25,5,62,2,东北风,3级,良
20210223,滨湖,多云-晴,14,5,46,1,东北风,4级,优
20210224,滨湖,晴-小雨,17,8,43,1,东风,4级,优
20210225,滨湖,大雨-小雨,14,8,39,1,东南风,4级,优
20210226,滨湖,小雨-阴,9,7,34,1,东北风,4级,优
20210227,滨湖,小雨,12,9,39,1,东北风,4级,优
20210228,滨湖,阴-小雨,13,10,28,1,东南风,微风,优
20210301,滨湖,中雨-阵雨,13,2,34,1,西北风,微风,优
20210302,滨湖,多云-晴,10,2,50,1,北风,3级,优
20210303,滨湖,阴-小雨,10,8,54,2,东南风,微风,良
20210304,滨湖,阴-多云,17,4,48,1,西南风,2级,优
20210305,滨湖,阴-小雨,12,8,71,2,东南风,3级,良
20210306,滨湖,阴-小雨,10,5,49,1,东北风,4级,优
20210307,滨湖,小雨-阴,7,5,49,1,北风,3级,优
20210308,滨湖,雾-小雨,12,7,59,2,东风,微风,良
20210309,滨湖,小雨-多云,11,5,48,1,东风,2级,优
20210310,滨湖,阴-小雨,16,9,62,2,东南风,微风,良
20210311,滨湖,小雨-阴,11,9,59,2,东南风,3级,良
20210312,滨湖,阴,12,5,53,2,西北风,3级,良
20210313,滨湖,阴-晴,16,5,69,2,东风,2级,良
20210314,滨湖,雾-多云,19,10,94,2,东南风,3级,良
20210315,滨湖,小雨,21,12,75,2,东南风,3级,良
20210316,滨湖,阴-小雨,14,8,87,2,东北风,微风,良
20210317,滨湖,小雨-阴,11,9,78,2,东北风,3级,良
20210318,滨湖,阴-小雨,14,10,62,2,东风,微风,良
20210319,滨湖,小雨,11,9,46,1,东北风,3级,优
20210320,滨湖,小雨-阴,11,7,49,1,西北风,3级,优
20210321,滨湖,多云,14,3,116,3,西北风,3级,轻度
20210322,滨湖,晴,15,5,64,2,西北风,2级,良
20210323,滨湖,多云,18,9,66,2,东南风,3级,良
20210324,滨湖,多云-晴,20,8,59,2,西南风,2级,良
20210325,滨湖,晴,23,9,70,2,东南风,2级,良
20210326,滨湖,多云-小雨,24,15,61,2,东南风,4级,良
20210327,滨湖,小雨-阴,18,11,38,1,西南风,3级,优
20210328,滨湖,晴,24,12,63,2,西南风,2级,良
20210329,滨湖,阴,26,15,90,2,东南风,3级,良
20210330,滨湖,扬沙-小雨,20,12,177,4,东北风,3级,中度
20210331,滨湖,阴-阵雨,15,14,137,3,东风,4级,轻度
20210401,滨湖,小雨,15,14,33,1,东北风,微风,优
20210402,滨湖,阴-多云,18,14,60,2,西北风,2级,良
20210403,滨湖,小雨-多云,15,9,38,1,西北风,4级,优
20210404,滨湖,晴,17,5,50,1,北风,4级,优
20210405,滨湖,阴,18,10,45,1,东北风,3级,优
20210406,滨湖,阴,21,10,53,2,东南风,2级,良
20210407,滨湖,阴-小雨,17,10,45,1,东风,3级,优
20210408,滨湖,多云-晴,19,6,41,1,东风,微风,优
20210409,滨湖,晴-多云,20,7,50,1,东北风,3级,优
20210410,滨湖,阴-小雨,20,12,55,2,东风,3级,良
20210411,滨湖,小雨,17,15,43,1,东南风,3级,优
20210412,滨湖,阴-晴,18,13,39,1,西北风,3级,优
20210413,滨湖,多云,20,11,71,2,东北风,3级,良
20210414,滨湖,阴-多云,14,9,44,1,东风,3级,优
20210415,滨湖,阴-晴,19,11,46,1,东南风,4级,优
20210416,滨湖,阴-晴,24,12,76,2,南风,2级,良
20210417,滨湖,阴,20,8,133,3,西北风,3级,轻度
20210418,滨湖,阴-晴,20,10,61,2,东南风,微风,良
20210419,滨湖,晴-多云,23,11,67,2,东南风,3级,良
20210420,滨湖,阴-多云,23,15,55,2,东南风,4级,良
20210421,滨湖,阴-小雨,24,17,52,2,东南风,4级,良
20210422,滨湖,中雨-阴,22,16,44,1,东南风,3级,优
20210423,滨湖,阴-小雨,22,17,61,2,西北风,3级,良
20210424,滨湖,小雨,20,16,61,2,东北风,3级,良
20210425,滨湖,阴,24,14,57,2,东北风,3级,良
20210426,滨湖,多云-小雨,25,16,51,2,东南风,3级,良
20210427,滨湖,中雨-晴,18,14,36,1,东南风,2级,优
20210428,滨湖,雾-多云,24,13,74,2,西风,2级,良
20210429,滨湖,阴-晴,23,17,83,2,西南风,3级,良
20210430,滨湖,晴-雷阵雨,31,16,71,2,西南风,3级,良
20210501,滨湖,晴,25,14,53,2,西北风,3级,良
20210502,滨湖,晴-多云,22,14,48,1,东北风,4级,优
20210503,滨湖,阴-中雨,27,20,54,2,东南风,4级,良
20210504,滨湖,小雨-多云,22,14,31,1,西南风,4级,优
20210505,滨湖,晴-多云,25,16,74,2,西南风,2级,良
20210506,滨湖,阴-小雨,26,18,62,2,东南风,4级,良
20210507,滨湖,多云,28,18,89,2,西风,3级,良
20210508,滨湖,阴-晴,30,19,228,5,南风,2级,重度
20210509,滨湖,晴,33,20,79,2,东南风,2级,良
20210510,滨湖,多云-雷阵雨,35,22,72,2,东南风,微风,良
20210511,滨湖,阴-小雨,21,19,53,2,北风,2级,良
20210512,滨湖,中雨-阵雨,21,19,42,1,东北风,2级,优
20210513,滨湖,阴-雷阵雨,22,20,52,2,东南风,3级,良
20210514,滨湖,小雨-雷阵雨,30,25,54,2,东南风,3级,良
20210515,滨湖,小雨-中雨,33,22,38,1,南风,3级,优
20210516,滨湖,小雨,27,16,24,1,西北风,微风,优
20210517,滨湖,阴,24,15,35,1,西北风,3级,优
20210518,滨湖,阴-多云,24,17,50,1,东南风,2级,优
20210519,滨湖,小雨,21,17,31,1,东南风,3级,优
20210520,滨湖,阴,18,15,28,1,西北风,3级,优
