time,area,weather,max_temperature,min_temperature,aqi,aqiLevel,wind_direction,wind_power,aqiInfo
20210101,宜兴,雨夹雪-晴,4,-4,60,2,西南风,2级,良
20210102,宜兴,多云-晴,7,-2,89,2,东南风,2级,良
20210103,宜兴,晴,9,4,93,2,东南风,3级,良
20210104,宜兴,阴-小雨,11,4,67,2,东风,2级,良
20210105,宜兴,阴,8,0,77,2,东北风,3级,良
20210106,宜兴,阴-多云,3,-7,67,2,北风,2级,良
20210107,宜兴,阴-多云,-3,-7,60,2,西北风,4级,良
20210108,宜兴,多云,0,-7,58,2,西北风,3级,良
20210109,宜兴,晴,4,-5,64,2,西风,2级,良
20210110,宜兴,多云,6,-3,86,2,西北风,2级,良
20210111,宜兴,小雨-晴,6,-3,87,2,西风,3级,良
20210112,宜兴,晴,11,0,83,2,西南风,3级,良
20210113,宜兴,多云,15,2,79,2,西南风,2级,良
20210114,宜兴,阴-晴,13,2,101,3,东南风,2级,轻度
20210115,宜兴,晴-阴,18,1,134,3,西北风,微风,轻度
20210116,宜兴,阴-多云,6,-1,70,2,东北风,3级,良
20210117,宜兴,多云-晴,7,-2,75,2,西北风,2级,良
20210118,宜兴,晴,11,0,89,2,西南风,2级,良
20210119,宜兴,晴,10,4,105,3,东南风,3级,轻度
20210120,宜兴,晴-小雨,14,10,60,2,东南风,3级,良
20210121,宜兴,小雨,13,8,111,3,西北风,2级,轻度
20210122,宜兴,中雨,10,6,106,3,东北风,2级,轻度
20210123,宜兴,小雨-多云,7,2,86,2,北风,2级,良
20210124,宜兴,多云-阴,6,5,137,3,东风,2级,轻度
20210125,宜兴,小雨,10,8,81,2,东南风,2级,良
20210126,宜兴,阴,6,3,85,2,西风,3级,良
20210127,宜兴,阴-多云,8,5,104,3,东风,2级,轻度
20210128,宜兴,多云-晴,11,-3,112,3,西北风,3级,轻度
20210129,宜兴,晴,8,1,72,2,东南风,微风,良
20210130,宜兴,多云,11,8,78,2,东南风,2级,良
20210131,宜兴,阴-小雨,15,8,90,2,西南风,1级,良
20210201,宜兴,小雨-多云,9,2,101,3,西风,2级,轻度
20210202,宜兴,晴-多云,7,3,101,3,东风,2级,轻度
20210203,宜兴,多云-晴,13,5,95,2,东南风,微风,良
20210204,宜兴,晴-小雨,11,6,106,3,东风,2级,轻度
20210205,宜兴,小雨-晴,9,5,91,2,东南风,2级,良
20210206,宜兴,晴,16,4,80,2,西南风,2级,良
20210207,宜兴,多云-阵雨,17,5,97,2,东北风,2级,良
20210208,宜兴,小雨-多云,9,1,36,1,东北风,3级,优
20210209,宜兴,多云-晴,10,5,35,1,东南风,3级,优
20210210,宜兴,阴-小雨,10,7,43,1,东南风,微风,优
20210211,宜兴,中雨-阴,10,7,57,2,东南风,3级,良
20210212,宜兴,阴,12,8,58,2,东南风,3级,良
20210213,宜兴,阴-多云,16,9,59,2,东南风,3级,良
20210214,宜兴,小雨-晴,20,8,62,2,西南风,3级,良
20210215,宜兴,阴,13,4,79,2,东北风,2级,良
20210216,宜兴,阴-晴,15,1,55,2,东北风,2级,良
20210217,宜兴,晴,8,-3,40,1,东北风,微风,优
20210218,宜兴,晴,11,1,45,1,西北风,2级,优
20210219,宜兴,晴,17,9,52,2,西南风,2级,良
20210220,宜兴,晴,25,9,46,1,西南风,3级,优
20210221,宜兴,小雨-晴,26,14,43,1,西南风,2级,优
20210222,宜兴,阴-晴,25,6,73,2,东北风,3级,良
20210223,宜兴,阴-多云,13,6,48,1,东风,4级,优
20210224,宜兴,多云-小雨,14,9,48,1,东南风,4级,优
20210225,宜兴,中雨-小雨,12,8,46,1,东北风,3级,优
20210226,宜兴,中雨-小雨,8,7,36,1,东北风,3级,优
20210227,宜兴,小雨,12,9,54,2,东风,3级,良
20210228,宜兴,阴-小雨,13,11,54,2,东南风,3级,良
20210301,宜兴,中雨-阵雨,12,3,54,2,西北风,3级,良
20210302,宜兴,小雨-晴,12,4,44,1,北风,2级,优
20210303,宜兴,多云-小雨,11,7,56,2,东南风,3级,良
20210304,宜兴,阴-多云,17,6,67,2,西风,2级,良
20210305,宜兴,阴-小雨,12,9,118,3,东南风,3级,轻度
20210306,宜兴,小雨,10,5,57,2,东北风,3级,良
20210307,宜兴,小雨-阴,7,5,55,2,北风,2级,良
20210308,宜兴,阴-小雨,12,8,95,2,东风,2级,良
20210309,宜兴,小雨-多云,10,6,77,2,东风,2级,良
20210310,宜兴,晴-小雨,15,9,74,2,东南风,3级,良
20210311,宜兴,小雨-阴,11,9,90,2,东南风,微风,良
20210312,宜兴,阴,13,5,68,2,西北风,2级,良
20210313,宜兴,阴-晴,15,7,96,2,东南风,2级,良
20210314,宜兴,多云,17,11,123,3,东南风,3级,轻度
20210315,宜兴,小雨-中雨,19,11,131,3,东南风,2级,轻度
20210316,宜兴,阴-小雨,13,8,101,3,东北风,3级,轻度
20210317,宜兴,小雨-阴,10,9,71,2,东风,3级,良
20210318,宜兴,阴-小雨,13,11,62,2,东风,2级,良
20210319,宜兴,小雨,12,9,71,2,东北风,2级,良
20210320,宜兴,小雨-阴,10,8,59,2,西北风,2级,良
20210321,宜兴,多云,14,3,104,3,西北风,3级,轻度
20210322,宜兴,晴,16,7,49,1,西北风,2级,优
20210323,宜兴,阴-多云,18,9,72,2,东南风,微风,良
20210324,宜兴,阴-晴,19,9,70,2,西风,微风,良
20210325,宜兴,晴,22,10,84,2,东南风,2级,良
20210326,宜兴,多云-小雨,23,15,60,2,东南风,3级,良
20210327,宜兴,阴,19,11,57,2,西南风,2级,良
20210328,宜兴,阴-晴,24,13,73,2,西南风,2级,良
20210329,宜兴,多云-阴,25,15,104,3,东南风,微风,轻度
20210330,宜兴,扬沙-中雨,19,13,147,3,东风,3级,轻度
20210331,宜兴,小雨-阵雨,15,14,131,3,东风,3级,轻度
20210401,宜兴,小雨,15,14,57,2,东北风,2级,良
20210402,宜兴,阴-多云,18,14,79,2,西北风,2级,良
20210403,宜兴,小雨-多云,16,10,50,1,西北风,3级,优
20210404,宜兴,晴,18,6,41,1,北风,3级,优
20210405,宜兴,多云-阴,18,10,50,1,东北风,2级,优
20210406,宜兴,多云,20,11,60,2,东南风,2级,良
20210407,宜兴,阴-小雨,16,11,49,1,东南风,2级,优
20210408,宜兴,阴-晴,19,7,54,2,东风,2级,良
20210409,宜兴,晴,20,8,60,2,东风,2级,良
20210410,宜兴,多云-小雨,20,13,54,2,东南风,3级,良
20210411,宜兴,小雨,17,15,58,2,东南风,3级,良
20210412,宜兴,小雨-晴,16,14,75,2,西风,2级,良
20210413,宜兴,多云,21,11,93,2,东北风,3级,良
20210414,宜兴,阴-多云,14,10,44,1,东风,3级,优
20210415,宜兴,阴-晴,18,11,45,1,东南风,3级,优
20210416,宜兴,阴-晴,24,12,119,3,西北风,微风,轻度
20210417,宜兴,阴,21,9,128,3,西北风,微风,轻度
20210418,宜兴,阴-晴,19,11,59,2,东南风,2级,良
20210419,宜兴,晴-多云,23,12,71,2,东南风,3级,良
20210420,宜兴,阴-多云,21,16,57,2,东南风,3级,良
20210421,宜兴,小雨,23,17,55,2,东南风,3级,良
20210422,宜兴,中雨-阴,18,16,61,2,东南风,2级,良
20210423,宜兴,阴,22,17,85,2,西北风,2级,良
20210424,宜兴,阴-阵雨,17,16,87,2,东北风,2级,良
20210425,宜兴,阴,21,15,66,2,东风,2级,良
20210426,宜兴,多云-小雨,24,17,49,1,东南风,微风,优
20210427,宜兴,中雨-晴,18,14,70,2,东南风,1级,良
20210428,宜兴,多云,23,14,119,3,西北风,微风,轻度
20210429,宜兴,晴,24,18,74,2,西南风,微风,良
20210430,宜兴,多云-雷阵雨,34,16,68,2,西南风,3级,良
20210501,宜兴,晴,27,15,54,2,西北风,2级,良
20210502,宜兴,晴-多云,23,15,46,1,东风,3级,优
20210503,宜兴,阴-中雨,26,20,60,2,东南风,4级,良
20210504,宜兴,小雨-多云,21,14,47,1,西风,3级,优
20210505,宜兴,多云,25,15,79,2,东南风,2级,良
20210506,宜兴,阴-小雨,24,18,57,2,东南风,2级,良
20210507,宜兴,多云,28,17,75,2,西北风,3级,良
20210508,宜兴,阴-晴,33,20,165,4,西南风,2级,中度
20210509,宜兴,晴,32,21,85,2,东南风,2级,良
20210510,宜兴,阴-雷阵雨,33,23,77,2,东南风,2级,良
20210511,宜兴,小雨,23,19,65,2,北风,2级,良
20210512,宜兴,中雨-阵雨,21,19,70,2,东北风,2级,良
20210513,宜兴,阴-雷阵雨,22,20,67,2,东南风,3级,良
20210514,宜兴,小雨-雷阵雨,28,24,54,2,东南风,2级,良
20210515,宜兴,阴-小雨,32,24,35,1,西南风,2级,优
20210516,宜兴,小雨,27,16,26,1,西风,3级,优
20210517,宜兴,多云,24,16,60,2,西北风,2级,良
20210518,宜兴,阴-多云,24,17,68,2,东南风,2级,良
20210519,宜兴,小雨,20,17,49,1,东南风,3级,优
20210520,宜兴,阴,19,15,45,1,西北风,2级,优
20210521,宜兴,多云,24,19,85,2,东南风,3级,良
20210522,宜兴,多云-小雨,25,18,69,2,东南风,3级,良
20210523,宜兴,大雨-小雨,20,17,32,1,东南风,2级,优
20210524,宜兴,多云,28,20,75,2,西风,2级,良
20210525,宜兴,多云-小雨,32,19,97,2,西南风,2级,良
20210526,宜兴,暴雨-多云,20,19,64,2,东北风,2级,良
20210527,宜兴,多云,29,22,45,1,西南风,2级,优
20210528,宜兴,阴-多云,28,20,53,2,西风,3级,良
20210529,宜兴,阴-多云,29,20,64,2,南风,2级,良
20210530,宜兴,多云-阴,31,21,74,2,东南风,2级,良
20210531,宜兴,多云-晴,29,22,68,2,东南风,3级,良
20210601,宜兴,多云-阵雨,28,22,35,1,东南风,4级,优
20210602,宜兴,小雨-阵雨,26,22,31,1,东南风,3级,优
20210603,宜兴,阴-阵雨,26,19,61,2,西北风,3级,良
