time,area,weather,max_temperature,min_temperature,aqi,aqiLevel,wind_direction,wind_power,aqiInfo
20210101,吴中,晴,5,-4,46,1,西风,2级,优
20210102,吴中,晴-多云,7,-1,64,2,东北风,2级,良
20210103,吴中,雾-多云,10,5,72,2,东风,3级,良
20210104,吴中,阴-小雨,11,5,50,1,东风,3级,优
20210105,吴中,阴,8,1,54,2,东北风,4级,良
20210106,吴中,阴,4,-6,50,1,北风,3级,优
20210107,吴中,阴-多云,-4,-8,76,2,西北风,5级,良
20210108,吴中,多云-晴,0,-7,48,1,西北风,4级,优
20210109,吴中,晴,4,-5,54,2,西北风,4级,良
20210110,吴中,阴-多云,5,-3,66,2,西北风,2级,良
20210111,吴中,阴-晴,6,-3,79,2,西北风,4级,良
20210112,吴中,晴,10,0,84,2,西南风,4级,良
20210113,吴中,晴,16,3,69,2,南风,3级,良
20210114,吴中,多云-晴,17,4,92,2,东南风,微风,良
20210115,吴中,晴-多云,17,2,85,2,西北风,3级,良
20210116,吴中,阴,6,-1,73,2,东北风,4级,良
20210117,吴中,晴,5,-2,57,2,北风,3级,良
20210118,吴中,晴,10,0,81,2,西南风,2级,良
20210119,吴中,晴,11,4,78,2,东南风,4级,良
20210120,吴中,多云-小雨,15,10,39,1,东南风,4级,优
20210121,吴中,小雨-阴,16,9,50,1,北风,3级,优
20210122,吴中,小雨,10,6,79,2,东北风,3级,良
20210123,吴中,小雨-多云,7,3,60,2,北风,3级,良
20210124,吴中,阴-多云,11,4,122,3,东北风,2级,轻度
20210125,吴中,阴-小雨,14,8,54,2,东南风,3级,良
20210126,吴中,阴,7,5,58,2,西北风,3级,良
20210127,吴中,多云,10,5,71,2,东北风,2级,良
20210128,吴中,晴-多云,10,-3,98,2,西北风,4级,良
20210129,吴中,晴-多云,9,1,68,2,东南风,3级,良
20210130,吴中,晴-多云,15,8,65,2,东南风,3级,良
20210131,吴中,阴-小雨,14,9,64,2,东南风,2级,良
20210201,吴中,中雨-多云,9,4,65,2,西北风,2级,良
20210202,吴中,晴-多云,10,3,86,2,东北风,3级,良
20210203,吴中,晴,15,6,62,2,东南风,3级,良
20210204,吴中,晴-小雨,12,6,82,2,东北风,3级,良
20210205,吴中,小雨-多云,10,6,56,2,东南风,2级,良
20210206,吴中,多云-晴,16,7,59,2,西南风,2级,良
20210207,吴中,阴,20,5,55,2,东北风,2级,良
20210208,吴中,阴-多云,8,2,47,1,东北风,4级,优
20210209,吴中,多云,11,6,26,1,东南风,3级,优
20210210,吴中,阴,12,8,25,1,东南风,3级,优
20210211,吴中,中雨-小雨,9,8,29,1,东南风,3级,优
20210212,吴中,小雨-阴,12,9,42,1,东南风,3级,优
20210213,吴中,多云,17,9,44,1,东南风,微风,优
20210214,吴中,阴,19,9,46,1,西南风,3级,优
20210215,吴中,阴,12,4,66,2,东北风,3级,良
20210216,吴中,阴-多云,14,3,41,1,东北风,3级,优
20210217,吴中,晴,8,-2,49,1,东北风,3级,优
20210218,吴中,晴,10,2,39,1,西北风,微风,优
20210219,吴中,多云-晴,18,9,45,1,南风,3级,优
20210220,吴中,晴,24,11,37,1,西南风,3级,优
20210221,吴中,晴,26,13,34,1,南风,3级,优
20210222,吴中,阴-多云,25,7,58,2,东北风,3级,良
20210223,吴中,多云,13,6,39,1,东北风,微风,优
20210224,吴中,晴-阴,17,10,35,1,东南风,4级,优
20210225,吴中,中雨,14,8,37,1,东南风,4级,优
20210226,吴中,小雨-阴,10,8,29,1,东北风,4级,优
20210227,吴中,小雨,12,10,30,1,东北风,3级,优
20210228,吴中,阴-小雨,13,10,22,1,东南风,3级,优
20210301,吴中,中雨-小雨,12,4,30,1,西北风,4级,优
20210302,吴中,多云,10,5,43,1,北风,3级,优
20210303,吴中,阴-小雨,10,8,47,1,东南风,3级,优
20210304,吴中,阴-多云,15,6,40,1,西南风,2级,优
20210305,吴中,多云-小雨,11,8,61,2,东南风,3级,良
20210306,吴中,小雨,10,6,37,1,东北风,4级,优
20210307,吴中,小雨-阴,8,5,34,1,北风,3级,优
20210308,吴中,雾-小雨,12,7,45,1,东风,微风,优
20210309,吴中,小雨-阴,10,5,39,1,东风,2级,优
20210310,吴中,晴-小雨,16,9,52,2,东南风,3级,良
20210311,吴中,小雨-阴,11,9,46,1,东南风,3级,优
20210312,吴中,阴-多云,13,6,45,1,西北风,3级,优
20210313,吴中,阴-多云,16,7,63,2,东风,2级,良
20210314,吴中,晴-多云,18,10,76,2,东南风,3级,良
20210315,吴中,小雨-中雨,23,11,64,2,东南风,3级,良
20210316,吴中,阴-小雨,13,9,71,2,东北风,3级,良
20210317,吴中,小雨,11,10,67,2,东风,3级,良
20210318,吴中,阴-小雨,14,11,53,2,东风,2级,良
20210319,吴中,小雨,12,11,59,2,东北风,微风,良
20210320,吴中,小雨-阴,10,7,53,2,西北风,4级,良
20210321,吴中,多云,14,4,93,2,西北风,微风,良
20210322,吴中,晴,14,6,50,1,西北风,2级,优
20210323,吴中,晴-阴,19,11,66,2,东南风,3级,良
20210324,吴中,多云-晴,20,10,62,2,西南风,2级,良
20210325,吴中,晴,22,11,84,2,东南风,2级,良
20210326,吴中,晴-小雨,22,16,66,2,东南风,4级,良
20210327,吴中,小雨-多云,19,13,59,2,西南风,3级,良
20210328,吴中,晴,23,13,78,2,西风,2级,良
20210329,吴中,多云-雷阵雨,26,16,126,3,东南风,3级,轻度
20210330,吴中,扬沙-小雨,19,14,185,4,东北风,3级,中度
20210331,吴中,小雨-雷阵雨,16,14,137,3,东风,4级,轻度
20210401,吴中,小雨,16,14,61,2,东北风,2级,良
20210402,吴中,小雨,19,14,100,2,西北风,3级,良
20210403,吴中,阴-阵雨,15,10,67,2,西北风,4级,良
20210404,吴中,晴,17,7,48,1,北风,4级,优
20210405,吴中,晴-多云,18,10,39,1,东北风,2级,优
20210406,吴中,多云,20,10,47,1,东风,2级,优
20210407,吴中,阴-小雨,18,12,36,1,东南风,3级,优
20210408,吴中,多云-晴,18,7,54,2,东北风,微风,良
20210409,吴中,晴,19,9,54,2,东北风,2级,良
20210410,吴中,阴-多云,20,14,50,1,东南风,3级,优
20210411,吴中,小雨-雷阵雨,17,15,48,1,东南风,3级,优
20210412,吴中,小雨-阴,17,14,69,2,西北风,3级,良
20210413,吴中,阴-多云,20,11,104,3,东北风,3级,轻度
20210414,吴中,阴,14,10,41,1,东风,3级,优
20210415,吴中,阴-多云,17,11,36,1,东南风,4级,优
20210416,吴中,阴-多云,24,13,112,3,南风,2级,轻度
20210417,吴中,多云,20,8,185,4,西北风,3级,中度
20210418,吴中,阴-晴,19,11,59,2,东南风,3级,良
20210419,吴中,晴,22,12,67,2,东南风,3级,良
20210420,吴中,多云-阴,23,14,48,1,东南风,4级,优
20210421,吴中,阴-多云,24,17,49,1,东南风,微风,优
20210422,吴中,中雨-阴,22,19,54,2,东南风,3级,良
20210423,吴中,阴-阵雨,21,18,116,3,西北风,3级,轻度
20210424,吴中,小雨,20,17,43,1,东北风,3级,优
20210425,吴中,阴-阵雨,23,15,48,1,东北风,微风,优
20210426,吴中,多云-阵雨,24,17,48,1,东南风,3级,优
20210427,吴中,中雨-阴,18,16,50,1,东南风,2级,优
20210428,吴中,阴-多云,23,16,68,2,西北风,2级,良
20210429,吴中,晴-多云,23,17,75,2,西南风,3级,良
20210430,吴中,晴-雷阵雨,31,18,63,2,西南风,3级,良
20210501,吴中,多云-晴,25,16,50,1,西北风,3级,优
20210502,吴中,晴,22,14,44,1,东北风,4级,优
20210503,吴中,多云-中雨,25,21,53,2,东南风,微风,良
20210504,吴中,小雨-阴,22,16,36,1,西南风,4级,优
20210505,吴中,多云,26,15,82,2,南风,2级,良
20210506,吴中,阴-小雨,25,19,52,2,东南风,微风,良
20210507,吴中,阴-多云,27,18,79,2,西北风,3级,良
20210508,吴中,阴-晴,30,20,164,4,南风,2级,中度
20210509,吴中,晴,33,21,88,2,东南风,2级,良
20210510,吴中,晴-雷阵雨,35,22,71,2,东南风,微风,良
20210511,吴中,小雨-阵雨,22,20,58,2,北风,2级,良
20210512,吴中,小雨-阵雨,22,19,43,1,东北风,2级,优
20210513,吴中,阴-中雨,23,21,40,1,东南风,3级,优
20210514,吴中,小雨-阴,28,25,49,1,东南风,3级,优
20210515,吴中,阴-雷阵雨,33,22,45,1,南风,3级,优
20210516,吴中,小雨-阵雨,27,17,28,1,西北风,4级,优
20210517,吴中,阴,24,17,46,1,西北风,3级,优
20210518,吴中,阴,23,18,50,1,东南风,2级,优
20210519,吴中,小雨-阵雨,22,19,31,1,东南风,4级,优
20210520,吴中,阴,19,17,32,1,西北风,3级,优
20210521,吴中,多云,26,18,74,2,东南风,3级,良
20210522,吴中,多云-阵雨,26,19,54,2,东南风,4级,良
20210523,吴中,大雨-阵雨,19,18,31,1,东风,3级,优
20210524,吴中,多云,27,20,71,2,西北风,微风,良
20210525,吴中,多云-雷阵雨,30,19,94,2,南风,2级,良
20210526,吴中,大雨-阵雨,22,20,62,2,东北风,3级,良
20210527,吴中,多云,27,22,39,1,西风,3级,优
20210528,吴中,阴-多云,27,20,56,2,西南风,3级,良
20210529,吴中,阴-多云,30,21,61,2,东南风,3级,良
20210530,吴中,晴,32,22,81,2,东南风,2级,良
20210531,吴中,多云,29,21,65,2,东南风,4级,良
20210601,吴中,阵雨-雷阵雨,28,21,34,1,东南风,5级,优
20210602,吴中,阵雨-雷阵雨,23,20,27,1,东南风,4级,优
20210603,吴中,阴-雷阵雨,27,20,59,2,西北风,3级,良
20210604,吴中,阴-多云,26,20,41,1,西南风,3级,优
20210605,吴中,多云-晴,31,20,67,2,南风,3级,良
20210606,吴中,晴,34,19,95,2,东南风,3级,良
20210607,吴中,阴-多云,33,20,68,2,东南风,3级,良
20210608,吴中,阴-多云,30,24,50,1,东南风,3级,优
20210609,吴中,阴-雷阵雨,30,24,45,1,东南风,3级,优
20210610,吴中,阴,29,24,32,1,东南风,3级,优
20210611,吴中,多云,31,25,57,2,东南风,2级,良
