time,area,weather,max_temperature,min_temperature,aqi,aqiLevel,wind_direction,wind_power,aqiInfo
20210101,无锡,晴,5,-4,56,2,西风,2级,良
20210102,无锡,多云-晴,7,-2,71,2,东北风,2级,良
20210103,无锡,雾-多云,11,3,77,2,东风,3级,良
20210104,无锡,阴-小雨,11,5,54,2,东风,3级,良
20210105,无锡,阴,8,0,62,2,东北风,3级,良
20210106,无锡,阴-多云,4,-7,58,2,北风,3级,良
20210107,无锡,阴-多云,-4,-7,73,2,西北风,4级,良
20210108,无锡,多云-晴,0,-7,52,2,西北风,3级,良
20210109,无锡,晴,4,-5,59,2,西北风,3级,良
20210110,无锡,阴-多云,5,-3,75,2,西北风,2级,良
20210111,无锡,阴-晴,6,-3,79,2,西北风,3级,良
20210112,无锡,晴,10,0,85,2,西南风,3级,良
20210113,无锡,晴-多云,16,2,70,2,西南风,微风,良
20210114,无锡,多云-晴,17,2,89,2,东南风,2级,良
20210115,无锡,晴-阴,18,1,105,3,西北风,3级,轻度
20210116,无锡,阴-多云,5,-1,81,2,东北风,3级,良
20210117,无锡,多云-晴,6,-2,67,2,西北风,2级,良
20210118,无锡,晴,10,0,86,2,西南风,2级,良
20210119,无锡,晴,12,3,86,2,东南风,3级,良
20210120,无锡,多云-小雨,17,9,54,2,东南风,3级,良
20210121,无锡,小雨,14,8,67,2,北风,2级,良
20210122,无锡,中雨,10,6,79,2,东北风,微风,良
20210123,无锡,小雨-多云,7,1,72,2,北风,3级,良
20210124,无锡,多云-阴,8,6,109,3,东北风,2级,轻度
20210125,无锡,阴-小雨,13,8,60,2,东南风,2级,良
20210126,无锡,小雨-多云,7,3,56,2,西北风,3级,良
20210127,无锡,多云,10,4,77,2,东北风,2级,良
20210128,无锡,晴,10,-3,103,3,西北风,3级,轻度
20210129,无锡,晴,9,0,72,2,东南风,3级,良
20210130,无锡,晴-多云,14,7,71,2,东南风,微风,良
20210131,无锡,阴-小雨,14,8,78,2,南风,2级,良
20210201,无锡,小雨-多云,10,2,76,2,西风,2级,良
20210202,无锡,晴-多云,9,2,85,2,东北风,微风,良
20210203,无锡,晴,15,5,71,2,东南风,3级,良
20210204,无锡,晴-小雨,13,6,84,2,东北风,3级,良
20210205,无锡,小雨-多云,10,5,61,2,东南风,2级,良
20210206,无锡,晴,17,4,67,2,西南风,2级,良
20210207,无锡,晴-阵雨,20,4,65,2,东北风,2级,良
20210208,无锡,阴-多云,9,1,45,1,东北风,3级,优
20210209,无锡,多云-晴,12,5,26,1,东南风,3级,优
