time,area,weather,max_temperature,min_temperature,aqi,aqiLevel,wind_direction,wind_power,aqiInfo
20210101,虎丘,晴,5,-4,50,1,西风,2级,优
20210102,虎丘,晴-多云,7,-1,72,2,东北风,2级,良
20210103,虎丘,雾-多云,10,5,76,2,东风,3级,良
20210104,虎丘,阴-小雨,11,5,49,1,东风,3级,优
20210105,虎丘,阴,8,1,55,2,东北风,3级,良
20210106,虎丘,阴,4,-6,51,2,北风,3级,良
20210107,虎丘,阴-多云,-4,-8,71,2,西北风,4级,良
20210108,虎丘,多云-晴,0,-7,48,1,西北风,4级,优
20210109,虎丘,晴,4,-5,51,2,西北风,3级,良
20210110,虎丘,阴-多云,5,-3,71,2,西北风,2级,良
20210111,虎丘,阴-晴,6,-3,82,2,西北风,3级,良
20210112,虎丘,晴,10,0,81,2,西南风,3级,良
20210113,虎丘,晴,16,3,74,2,西南风,2级,良
20210114,虎丘,多云-晴,17,4,100,2,东南风,2级,良
20210115,虎丘,晴-多云,17,2,102,3,西北风,3级,轻度
20210116,虎丘,阴,6,-1,75,2,东北风,3级,良
20210117,虎丘,晴,5,-2,59,2,西北风,2级,良
20210118,虎丘,晴,10,0,87,2,西南风,2级,良
20210119,虎丘,晴,11,4,82,2,东南风,3级,良
20210120,虎丘,多云-小雨,15,10,45,1,东南风,3级,优
20210121,虎丘,小雨-阴,16,9,60,2,东北风,2级,良
20210122,虎丘,小雨,10,6,86,2,东北风,微风,良
20210123,虎丘,小雨-多云,7,3,70,2,北风,3级,良
20210124,虎丘,阴-多云,11,4,126,3,东北风,2级,轻度
20210125,虎丘,阴-小雨,14,8,57,2,东南风,微风,良
20210126,虎丘,阴,7,5,66,2,西北风,3级,良
20210127,虎丘,多云,10,5,84,2,东北风,2级,良
20210128,虎丘,晴-多云,10,-3,108,3,西北风,3级,轻度
20210129,虎丘,晴-多云,9,1,66,2,东南风,3级,良
20210130,虎丘,晴-多云,15,8,64,2,东南风,2级,良
20210131,虎丘,阴-小雨,14,9,69,2,南风,2级,良
20210201,虎丘,中雨-多云,9,4,80,2,西北风,2级,良
