time,area,weather,max_temperature,min_temperature,aqi,aqiLevel,wind_direction,wind_power,aqiInfo
20210101,新吴,晴,5,-4,60,2,西风,2级,良
20210102,新吴,多云-晴,7,-2,79,2,东北风,2级,良
20210103,新吴,雾-多云,11,3,84,2,东风,3级,良
20210104,新吴,阴-小雨,11,5,58,2,东风,3级,良
20210105,新吴,阴,8,0,67,2,东北风,3级,良
20210106,新吴,阴-多云,4,-7,62,2,北风,3级,良
20210107,新吴,阴-多云,-4,-7,86,2,西北风,4级,良
20210108,新吴,多云-晴,0,-7,63,2,西北风,3级,良
20210109,新吴,晴,4,-5,66,2,西北风,3级,良
20210110,新吴,阴-多云,5,-3,80,2,西北风,2级,良
20210111,新吴,阴-晴,6,-3,87,2,西北风,3级,良
20210112,新吴,晴,10,0,97,2,西南风,3级,良
20210113,新吴,晴-多云,16,2,75,2,西南风,2级,良
20210114,新吴,多云-晴,17,2,94,2,东南风,2级,良
20210115,新吴,晴-阴,18,1,112,3,西北风,3级,轻度
20210116,新吴,阴-多云,5,-1,81,2,东北风,3级,良
20210117,新吴,多云-晴,6,-2,69,2,西北风,2级,良
20210118,新吴,晴,10,0,93,2,西南风,2级,良
20210119,新吴,晴,12,3,96,2,东南风,3级,良
20210120,新吴,多云-小雨,17,9,51,2,东南风,3级,良
20210121,新吴,小雨,14,8,67,2,东北风,2级,良
20210122,新吴,中雨,10,6,90,2,东北风,3级,良
20210123,新吴,小雨-多云,7,1,74,2,北风,3级,良
20210124,新吴,多云-阴,8,6,120,3,东北风,2级,轻度
20210125,新吴,阴-小雨,13,8,65,2,东南风,2级,良
20210126,新吴,小雨-多云,7,3,62,2,西北风,3级,良
20210127,新吴,多云,10,4,87,2,东北风,2级,良
20210128,新吴,晴,10,-3,116,3,西北风,3级,轻度
20210129,新吴,晴,9,0,81,2,东南风,微风,良
20210130,新吴,晴-多云,14,7,77,2,东南风,2级,良
20210131,新吴,阴-小雨,14,8,79,2,西南风,2级,良
20210201,新吴,小雨-多云,10,2,83,2,西风,2级,良
20210202,新吴,晴-多云,9,2,91,2,东北风,2级,良
