date,temperature,pH,oxygen,permanganate,NH,TP,TN,conductivity,turbidity,chla,density
2021-6-2 8:00,26.15,8.342,6.67,4.473,0.025,0.0658,1.141,445.866,82.242,0.00388,14200000.0
2021-6-2 12:00,26.43,8.294,6.668,4.001,0.025,0.0609,0.967,464.492,68.413,0.00451,10600000.0
2021-6-2 16:00,26.1,8.315,6.78,5.257,0.025,0.0767,1.23,453.714,96.001,0.00384,18500000.0
2021-6-2 20:00,26.07,8.291,6.548,4.704,0.025,0.0697,0.955,452.943,75.0,0.00362,14300000.0
2021-6-3 0:00,25.78,8.138,6.343,4.704,0.025,0.073,1.144,468.651,77.518,0.00344,15700000.0
2021-6-3 4:00,25.7,8.057,6.163,3.012,0.025,0.0537,0.83,475.594,53.556,0.00339,10500000.0
2021-6-3 8:00,25.73,8.156,6.29,2.682,0.0255,0.0466,0.729,473.117,42.623,0.00288,3774330.0
2021-6-3 12:00,26.82,8.874,8.186,2.829,0.0252,0.0438,0.629,472.062,25.569,0.00416,4228220.0
2021-6-3 16:00,25.75,8.224,6.482,4.931,0.025,0.0817,1.029,470.304,87.279,0.00364,17600000.0
2021-6-3 20:00,25.51,8.153,6.387,4.615,0.025,0.0839,1.13,469.071,88.525,0.00377,13400000.0
2021-6-4 0:00,25.19,8.088,6.255,4.615,0.025,0.0852,0.997,467.03,100.034,0.00384,21200000.0
2021-6-4 4:00,25.07,8.03,5.934,7.188,0.025,0.0806,1.245,457.593,115.839,0.00379,37300000.0
2021-6-4 8:00,24.98,8.075,6.305,4.098,0.025,0.0636,0.771,463.446,68.736,0.00271,14500000.0
2021-6-4 12:00,26.98,8.927,9.968,2.994,0.025,0.0543,0.681,455.006,96.803,0.00416,43000000.0
2021-6-4 16:00,27.14,8.928,10.873,3.731,0.025,0.0496,0.747,452.91,72.895,0.00333,27500000.0
2021-6-4 20:00,26.01,8.505,8.343,4.042,0.025,0.0494,1.081,464.285,52.526,0.00274,9490540.0
2021-6-5 4:00,25.72,8.282,7.538,4.129,0.025,0.049,0.829,466.165,53.832,0.00273,10500000.0
2021-6-5 8:00,25.57,8.26,7.583,5.702,0.025,0.0528,1.024,464.583,54.117,0.00282,16800000.0
2021-6-5 12:00,27.14,8.677,9.676,4.385,0.025,0.0514,0.754,459.412,122.942,0.004,43500000.0
2021-6-5 16:00,28.32,8.903,11.198,4.188,0.025,0.0415,0.972,455.485,44.892,0.00355,24500000.0
2021-6-5 20:00,27.5,8.697,9.425,4.043,0.025,0.0441,0.95,457.563,32.304,0.00347,10200000.0
2021-6-6 0:00,26.59,8.429,8.005,3.948,0.025,0.0441,1.022,460.772,44.716,0.00351,12000000.0
2021-6-6 4:00,26.44,8.469,7.948,4.525,0.025,0.0533,0.892,462.128,51.346,0.00373,14800000.0
2021-6-6 8:00,26.69,8.625,8.702,3.566,0.025,0.0499,1.035,462.303,65.637,0.0038,32800000.0
2021-6-6 12:00,28.52,8.875,10.535,3.277,0.025,0.0376,0.884,458.979,37.294,0.00285,17300000.0
2021-6-6 16:00,31.82,8.993,11.215,2.91,0.025,0.0428,0.864,452.628,13.105,0.00357,4068040.0
2021-6-6 20:00,29.48,8.926,10.681,2.937,0.025,0.0367,0.843,456.796,27.369,0.00266,10300000.0
2021-6-7 0:00,27.35,8.624,8.366,2.937,0.025,0.0367,0.843,463.224,43.258,0.00356,9618320.0
2021-6-7 4:00,26.99,8.566,7.949,3.579,0.025,0.0425,0.838,462.757,44.62,0.00335,8874180.0
2021-6-7 8:00,26.96,8.562,7.928,3.321,0.025,0.0342,0.819,460.2,38.589,0.00282,8043700.0
2021-6-7 12:00,28.11,8.652,8.695,2.969,0.025,0.0304,0.706,460.835,23.25,0.00297,9511890.0
