date,temperature,pH,oxygen,permanganate,NH,TP,TN,conductivity,turbidity,chla,density
2021-1-1 4:00,4.2,8.6,12.02,-1.0,0.025,-1.0,0.95,423.2,4.2,0.006,11173100.0
2021-1-1 8:00,4.1,8.62,12.39,-1.0,0.025,-1.0,0.9,422.7,4.2,0.003,6267820.0
2021-1-1 12:00,4.0,8.65,13.28,-1.0,0.025,-1.0,0.95,420.5,4.5,0.002,5894840.0
2021-1-1 16:00,4.6,8.7,13.57,-1.0,0.025,-1.0,0.96,419.7,4.2,0.003,5903490.0
2021-1-1 20:00,4.8,8.67,12.5,-1.0,0.025,-1.0,0.94,423.2,3.3,0.004,9158790.0
2021-1-2 0:00,4.7,8.68,11.81,-1.0,0.025,-1.0,0.93,422.8,2.9,0.003,12873000.0
2021-1-2 4:00,4.6,8.61,12.02,-1.0,0.025,-1.0,0.91,424.8,2.5,0.005,20854600.0
2021-1-2 8:00,4.1,8.66,12.65,-1.0,0.025,-1.0,0.8,422.2,3.4,0.003,6229150.0
2021-1-2 12:00,4.5,8.71,13.56,-1.0,0.025,-1.0,0.91,420.2,3.7,0.002,4621310.0
2021-1-2 16:00,4.5,8.74,14.04,-1.0,0.025,-1.0,0.92,419.1,3.8,0.003,5362860.0
2021-1-2 20:00,4.9,8.7,13.0,-1.0,0.025,-1.0,0.94,421.8,3.3,0.003,11721900.0
2021-1-3 0:00,4.7,8.68,12.75,-1.0,0.025,-1.0,0.94,422.0,3.6,0.003,17498800.0
2021-1-3 4:00,4.8,8.66,12.35,-1.0,0.025,-1.0,0.99,424.0,2.7,0.004,12252400.0
2021-1-3 8:00,4.7,8.64,12.31,-1.0,0.025,-1.0,0.82,425.9,2.5,0.003,6982800.0
2021-1-3 12:00,4.6,8.71,13.91,-1.0,0.025,-1.0,0.9,418.7,3.9,0.001,3887170.0
2021-1-3 16:00,4.9,8.71,14.02,-1.0,0.025,-1.0,0.93,418.8,3.9,0.003,5113440.0
2021-1-3 20:00,4.8,8.68,13.76,-1.0,0.025,-1.0,0.97,419.7,4.4,0.003,5405730.0
2021-1-4 0:00,5.1,8.68,13.41,-1.0,0.025,-1.0,0.97,418.9,3.9,0.004,5680080.0
2021-1-4 4:00,5.2,8.63,13.14,-1.0,0.025,-1.0,0.92,419.6,3.8,0.004,5391290.0
2021-1-4 8:00,5.6,8.6,12.01,-1.0,0.025,-1.0,0.87,420.9,3.3,0.003,5786100.0
2021-1-4 12:00,5.5,8.7,13.23,-1.0,0.025,0.104,1.01,419.5,3.6,0.003,5230610.0
2021-1-4 16:00,5.5,8.69,13.56,5.76,0.025,0.044,0.91,418.8,3.8,0.004,4590060.0
2021-1-4 20:00,5.5,8.7,13.44,4.77,0.025,0.037,0.91,418.6,3.7,0.004,4509060.0
2021-1-5 0:00,6.1,8.67,12.8,4.77,0.025,0.037,0.91,419.3,3.5,0.004,4448150.0
2021-1-5 4:00,5.7,8.62,13.1,4.53,0.025,0.038,0.93,418.7,4.6,0.003,4965680.0
2021-1-5 8:00,5.6,8.62,12.96,4.54,0.025,0.038,0.81,419.3,4.2,0.003,4743770.0
2021-1-5 12:00,5.7,8.66,13.26,4.57,0.025,0.036,0.91,418.4,3.9,0.003,4880690.0
2021-1-5 16:00,5.8,8.65,13.35,4.76,0.025,0.036,0.93,418.5,4.2,0.003,4679860.0
2021-1-5 20:00,5.8,8.64,13.13,4.55,0.025,0.036,0.92,419.0,4.2,0.003,4806160.0
2021-1-6 0:00,5.7,8.62,12.82,4.55,0.025,0.038,0.94,419.7,4.1,0.003,4956330.0
2021-1-6 4:00,5.6,8.61,12.55,4.48,0.025,0.04,0.92,420.3,3.8,0.003,5295450.0
2021-1-6 8:00,5.9,8.59,12.03,4.56,0.025,0.033,0.84,421.6,3.5,0.003,5291240.0
2021-1-6 12:00,5.9,8.64,12.52,-1.0,0.025,0.039,0.91,420.7,3.6,0.002,5000760.0
2021-1-6 16:00,5.8,8.64,12.96,4.68,0.025,0.036,0.91,419.8,4.7,0.003,4743280.0
2021-1-6 20:00,5.6,8.64,12.86,4.4,0.025,0.041,0.93,420.2,4.5,0.003,4948020.0
2021-1-7 4:00,5.1,8.56,12.48,4.5,0.025,0.046,0.94,421.1,4.5,0.003,4686090.0
2021-1-7 8:00,4.8,8.54,12.37,4.61,0.025,0.061,0.9,422.6,4.5,0.003,4478970.0
2021-1-7 12:00,4.5,8.56,12.75,4.42,0.025,0.051,0.96,422.5,6.0,0.002,3904960.0
2021-1-7 16:00,4.3,8.59,12.94,4.44,0.025,0.058,0.96,422.8,4.7,0.002,4389340.0
2021-1-7 20:00,4.0,8.57,12.74,-1.0,-1.0,-1.0,-1.0,423.2,4.7,0.002,4359370.0
2021-1-8 0:00,3.6,8.51,12.62,-1.0,-1.0,-1.0,-1.0,422.4,4.5,0.002,4110090.0
2021-1-8 4:00,3.4,8.55,12.64,-1.0,-1.0,-1.0,-1.0,424.2,3.7,0.002,4216980.0
2021-1-8 8:00,3.1,8.54,12.46,-1.0,-1.0,-1.0,-1.0,425.7,4.6,0.002,3778800.0
2021-1-8 12:00,3.1,8.57,12.92,-1.0,-1.0,-1.0,-1.0,424.7,3.8,0.001,3279180.0
2021-1-8 16:00,3.2,8.57,13.1,-1.0,-1.0,-1.0,-1.0,424.4,4.2,0.001,3419020.0
2021-1-8 20:00,3.2,8.58,12.84,-1.0,-1.0,-1.0,-1.0,425.6,3.8,0.002,4188150.0
2021-1-9 0:00,2.7,8.36,11.42,-1.0,-1.0,-1.0,-1.0,430.6,3.5,0.002,6486470.0
2021-1-9 4:00,2.5,8.5,12.66,-1.0,-1.0,-1.0,-1.0,428.0,3.6,0.002,4040970.0
2021-1-9 8:00,2.5,8.43,12.14,-1.0,-1.0,-1.0,-1.0,431.0,3.1,0.001,3817810.0
2021-1-9 12:00,2.5,8.47,12.94,-1.0,-1.0,-1.0,-1.0,427.4,4.1,0.001,2993500.0
2021-1-9 16:00,3.0,8.5,13.13,4.57,0.025,0.055,1.24,426.1,3.9,0.001,3317100.0
2021-1-9 20:00,2.9,8.35,11.62,4.49,0.025,0.052,1.0,429.5,3.2,0.001,4180680.0
2021-1-10 0:00,2.5,8.42,11.87,4.49,-1.0,0.048,1.0,430.2,2.9,0.001,4588330.0
2021-1-10 4:00,2.4,8.28,11.22,4.24,-1.0,0.047,0.96,432.5,2.3,0.002,4331840.0
2021-1-10 8:00,2.6,8.24,11.24,4.4,0.025,0.05,0.81,433.1,2.2,0.001,4184340.0
2021-1-10 12:00,2.7,8.49,12.58,4.17,0.025,0.048,0.9,425.7,3.3,0.0003,2290960.0
2021-1-10 16:00,3.4,8.5,12.77,4.38,0.025,0.066,0.89,426.1,3.3,0.001,2992760.0
2021-1-10 20:00,3.4,8.22,10.47,4.41,-1.0,0.048,0.93,432.2,2.4,0.001,7474670.0
2021-1-11 4:00,2.8,8.07,10.61,4.3,0.025,0.048,0.94,433.4,2.6,0.001,6619060.0
2021-1-11 8:00,2.9,8.23,11.9,4.45,0.025,0.042,0.83,430.4,2.1,0.001,3684770.0
2021-1-11 12:00,3.0,8.43,12.92,4.45,0.025,0.042,0.91,426.9,3.8,0.001,2984640.0
2021-1-11 16:00,3.2,8.44,13.19,4.62,0.025,0.04,0.93,426.6,3.4,0.001,2666050.0
2021-1-11 20:00,3.1,8.41,12.94,4.5,0.028,0.047,0.95,426.5,3.6,0.001,3325480.0
2021-1-12 0:00,3.3,8.4,12.51,4.5,0.025,0.042,0.95,427.9,3.5,0.001,4151280.0
2021-1-12 4:00,3.0,8.43,12.65,4.39,0.025,0.051,0.97,427.6,3.6,0.001,3348640.0
2021-1-12 8:00,3.3,8.17,10.83,4.44,0.032,0.041,0.87,429.3,2.9,0.001,3837360.0
2021-1-12 12:00,3.4,8.42,12.56,4.42,0.025,0.04,0.9,427.7,3.2,0.0003,2590980.0
2021-1-12 16:00,4.1,8.4,12.82,4.58,0.026,0.037,0.94,427.1,3.5,0.001,2717490.0
2021-1-12 20:00,3.8,8.41,12.6,4.49,0.025,0.038,0.87,427.9,3.5,0.001,3442080.0
2021-1-13 0:00,3.9,8.36,12.18,4.49,0.025,0.035,0.91,429.9,2.4,0.001,5137540.0
2021-1-13 4:00,3.8,8.22,11.08,4.33,0.025,0.038,0.93,432.4,3.3,0.001,7654780.0
2021-1-13 8:00,3.6,8.04,10.18,4.49,0.025,0.03,0.84,431.0,3.3,0.001,3162830.0
2021-1-13 12:00,4.0,8.38,12.67,4.49,0.025,0.036,0.84,428.2,4.0,0.001,3586140.0
2021-1-13 16:00,4.4,8.46,13.16,4.42,0.025,0.033,0.71,428.2,3.5,0.001,2404150.0
2021-1-13 20:00,4.4,8.33,12.1,4.4,0.025,-1.0,0.86,431.2,1.7,0.003,7994360.0
2021-1-14 0:00,4.4,8.26,10.04,4.4,0.025,-1.0,0.86,431.8,1.8,0.007,10078200.0
2021-1-14 4:00,4.4,8.17,9.92,4.41,0.025,-1.0,0.9,433.1,1.1,0.001,5451070.0
2021-1-14 8:00,4.4,8.25,11.04,4.38,0.025,-1.0,0.84,430.6,1.4,0.002,2761980.0
2021-1-14 12:00,4.5,8.45,12.97,4.32,0.025,-1.0,0.83,428.3,2.3,0.001,1729890.0
2021-1-14 16:00,5.1,8.46,13.22,4.38,0.025,-1.0,0.7,426.9,3.1,0.001,2276950.0
2021-1-14 20:00,5.2,8.28,10.8,4.39,0.025,-1.0,0.85,430.5,1.7,0.002,2569680.0
2021-1-15 4:00,5.1,8.27,11.87,4.28,0.025,-1.0,0.9,430.0,1.9,0.002,8871550.0
2021-1-15 8:00,5.0,8.14,11.36,4.26,0.025,-1.0,0.66,430.4,1.7,0.001,2472610.0
2021-1-15 12:00,5.9,8.42,12.88,4.02,0.025,-1.0,0.59,426.3,2.0,0.0005,1501130.0
2021-1-15 16:00,5.5,8.44,13.22,4.5,0.025,-1.0,0.59,426.2,4.7,0.002,3344850.0
2021-1-15 20:00,5.2,8.39,13.05,4.4,0.025,-1.0,0.82,426.8,6.7,0.002,3034980.0
2021-1-16 0:00,5.0,8.38,12.86,4.4,0.025,-1.0,0.82,427.2,4.8,0.002,3060260.0
2021-1-16 4:00,5.2,8.33,12.68,4.37,0.025,-1.0,-1.0,427.2,3.9,0.002,2730540.0
2021-1-16 8:00,5.1,8.3,12.45,4.23,0.025,-1.0,-1.0,426.9,4.5,0.002,2505830.0
2021-1-16 12:00,5.4,8.33,12.74,4.32,0.025,-1.0,-1.0,426.6,4.6,0.001,2521820.0
