date,temperature,pH,oxygen,permanganate,NH,TP,TN,conductivity,turbidity,chla,density
2021/1/1 0:00,3.7,7.52,12.57,4.45,0.025,0.124,1.31,390.5,158.6,0.003,6722100
2021/1/1 4:00,3.4,7.55,12.63,3.97,0.025,0.116,1.26,384.1,151,0.004,7987800
2021/1/1 8:00,3.2,7.56,12.64,4.18,0.025,0.096,1.2,382.7,143.5,0.004,7218900
2021/1/1 12:00,3.6,7.46,12.75,4.29,0.025,0.115,0.68,379,148.5,0.003,10101400
2021/1/1 16:00,3.9,7.51,12.8,4.35,0.025,0.107,1.98,377.5,147.6,0.003,10971900
2021/1/1 20:00,3.8,7.53,12.75,4.02,0.025,0.102,29.88,378.7,133.7,0.004,9556600
2021/1/2 0:00,3.7,7.48,12.63,3.85,0.025,0.093,-1,381.3,127.8,0.004,7647820
2021/1/2 4:00,3.3,7.52,12.67,3.86,0.025,0.084,-1,381.3,119.8,0.004,9305290
2021/1/2 8:00,3.3,7.49,12.69,3.99,0.025,0.098,-1,381.9,121.9,0.003,8948490
2021/1/2 12:00,3.9,7.53,12.72,3.56,0.025,0.09,-1,393.1,103.5,0.002,8988520
2021/1/2 16:00,4.2,7.54,12.78,3.52,0.025,0.073,-1,406.9,90.9,0.003,4911650
2021/1/2 20:00,4.2,7.51,12.66,3.42,0.025,0.063,-1,410.3,86.5,0.003,4205950
2021/1/3 0:00,3.8,7.53,12.68,3.42,0.025,0.059,-1,415.8,79.7,0.003,8344820
2021/1/3 4:00,3.7,7.54,12.73,3.4,0.025,0.069,-1,415.4,81.8,0.003,5227600
2021/1/3 8:00,3.6,7.5,12.75,3.58,0.025,0.071,-1,416.9,85.1,0.003,4423740
2021/1/3 12:00,4.4,7.55,12.82,3.42,0.025,0.073,-1,416.5,78.5,0.002,3679060
2021/1/3 16:00,5,7.55,12.88,3.56,0.025,0.067,-1,415.6,78.1,0.003,5750050
2021/1/3 20:00,4.7,7.52,12.85,3.44,0.025,0.068,-1,415.9,72.5,0.003,3392780
2021/1/4 0:00,4.5,7.51,12.76,3.44,0.025,0.057,-1,414.3,72.6,0.003,3967430
2021/1/4 4:00,4.5,7.5,12.71,3.36,0.025,0.056,-1,413.6,74.9,0.003,5224420
2021/1/4 8:00,4.5,7.49,12.68,3.5,0.025,0.06,-1,413.9,73.9,0.003,3185770
2021/1/4 12:00,5.1,7.51,12.65,3.33,0.025,0.066,-1,413,67.3,0.003,3014440
2021/1/4 16:00,5.2,7.5,12.68,3.38,0.025,0.051,-1,413.4,68.2,0.003,3113960
2021/1/4 20:00,5.2,7.52,12.66,3.25,0.027,0.048,2.28,414.5,64.2,0.003,3231350
2021/1/5 0:00,5.3,7.52,12.62,3.25,0.025,0.048,-1,414.8,61.6,0.003,2977290
2021/1/5 4:00,5.5,7.49,12.46,3.38,0.025,0.048,-1,414.7,62.9,0.003,3234930
2021/1/5 8:00,5.3,7.5,12.55,3.36,0.028,0.052,-1,414.7,57.9,0.003,2922960
2021/1/5 12:00,5.4,7.51,12.53,3.46,0.055,0.058,-1,414.7,63.5,0.003,5406880
2021/1/5 16:00,5.6,7.53,12.51,3.36,0.041,0.06,-1,415.4,57.4,0.003,3424900
2021/1/5 20:00,5.5,7.5,12.43,4.08,0.037,0.084,-1,408.9,102.7,0.003,5103540
2021/1/6 0:00,5.5,7.49,12.36,4.08,0.036,0.085,-1,411.3,96.2,0.003,5498750
2021/1/6 4:00,5.4,7.49,12.29,4.01,0.046,0.091,-1,414.3,87.6,0.003,4123920
2021/1/6 8:00,5.3,7.47,12.22,3.95,0.056,0.076,-1,419.1,77.5,0.003,4062450
2021/1/6 12:00,5.4,7.48,12.22,3.77,0.078,0.065,-1,424.6,66.1,0.003,3071340
2021/1/6 16:00,5.2,7.42,12.32,-1,0.084,0.074,-1,427,61.1,0.003,2965100
2021/1/6 20:00,5.3,7.5,12.34,3.84,0.06,0.072,1.56,416.2,71,0.003,3827720
2021/1/7 0:00,5.1,7.48,12.22,3.84,0.138,0.114,1.33,424.5,97.4,0.003,4467670
2021/1/7 4:00,4.8,7.48,12.41,4.98,0.255,0.144,1.88,424.5,160.7,0.003,7030100
2021/1/7 8:00,4.5,7.57,12.52,6.16,0.476,0.2,2.62,505,178.4,0.012,9677180
2021/1/7 12:00,4.2,7.59,12.54,6.33,0.529,0.246,3.14,517.6,189.9,0.011,9861200
2021/1/7 16:00,3.9,7.62,12.64,6.75,0.508,0.297,3.08,509,212.2,0.012,10633300
2021/1/7 20:00,3.3,7.63,12.71,6.71,0.539,0.236,3,512.8,197.7,0.012,10057600
2021/1/8 0:00,2.8,7.62,12.7,6.71,0.6,0.203,3.05,522.9,175,0.011,9520900
2021/1/8 4:00,2.3,7.64,12.91,5.68,-1,-1,2.93,520.1,176.6,0.011,9758360
2021/1/8 8:00,1.7,7.59,13.16,5.45,0.085,0.224,1.82,423.5,207.6,0.003,9961020
2021/1/8 12:00,2,7.58,13.21,4.99,0.081,0.146,1.99,429.6,162.3,0.004,8745170
2021/1/8 16:00,2.2,7.59,13.37,5.56,0.025,0.212,1.87,415.9,223.8,0.003,10980700
2021/1/8 20:00,2.1,7.6,13.26,4.3,-1,0.132,1.72,404,154,0.003,11401900
2021/1/9 0:00,1.8,7.6,13.34,4.3,0.025,0.067,1.44,397,145.5,0.003,7876140
2021/1/9 4:00,1.6,7.59,13.25,3.55,-1,0.077,1.31,392.1,148.4,0.004,8373720
2021/1/9 8:00,1.4,7.6,13.33,4.16,0.025,0.081,1.69,406.2,121.6,0.003,6903660
2021/1/9 12:00,1.7,7.6,13.44,4.06,-1,0.111,1.58,403,140.6,0.003,6705150
2021/1/9 16:00,2.2,7.62,13.51,4.11,-1,0.092,1.59,400.6,131.8,0.003,6843810
2021/1/9 20:00,2.3,7.57,13.33,3.96,-1,0.081,1.52,407.6,128.1,0.003,7100080
2021/1/10 0:00,2,7.56,13.32,3.96,-1,0.092,1.59,408.5,125.6,0.003,6037370
2021/1/10 4:00,2,7.55,13.32,3.54,-1,0.058,1.58,408.4,115.1,0.003,5815000
2021/1/10 8:00,1.8,7.54,13.3,3.87,-1,0.068,1.61,409.9,104.2,0.003,6215600
2021/1/10 12:00,2.2,7.57,13.39,3.68,-1,0.075,1.66,409.1,102.6,0.002,5097430
2021/1/10 16:00,2.5,7.58,13.44,3.75,0.025,0.076,1.63,408.6,96.8,0.003,4565810
2021/1/10 20:00,2.4,7.58,13.4,3.55,-1,0.071,1.56,404.9,94.2,0.003,5064340
2021/1/11 0:00,2.2,7.59,13.39,3.55,0.025,0.068,1.49,408,98.1,0.003,4785600
2021/1/11 4:00,2.2,7.59,13.3,3.54,-1,0.067,1.54,408,87.9,0.003,4372590
2021/1/11 8:00,2.1,7.58,13.3,3.68,0.025,0.066,1.58,414,86.6,0.003,4685260
2021/1/11 12:00,2.3,7.61,13.48,3.44,0.026,0.068,1.58,412.9,90,0.002,3971370
2021/1/11 16:00,2.7,7.58,13.5,3.6,0.027,0.075,1.49,392.9,104.7,0.002,5533060
2021/1/11 20:00,2.6,7.58,13.43,3.79,0.025,0.092,1.36,383.7,120.6,0.003,5493500
2021/1/12 0:00,2.5,7.57,13.32,3.79,0.025,0.07,1.33,382.9,108.4,0.003,5260760
2021/1/12 4:00,2.2,7.56,13.37,3.52,-1,0.07,1.28,382.9,100.2,0.003,5081780
2021/1/12 8:00,2,7.56,13.42,3.84,0.025,0.075,1.34,382,114.9,0.003,5170460
2021/1/12 12:00,2.5,7.58,13.44,3.51,0.025,0.081,1.61,406.6,85.3,0.002,3792620
2021/1/12 16:00,3.2,7.59,13.32,3.95,0.124,0.072,2.11,446.1,61.6,0.004,5039750
2021/1/12 20:00,2.9,7.58,13.38,3.45,0.029,0.06,1.62,406.9,80.2,0.003,5573470
2021/1/13 0:00,2.8,7.57,13.4,3.45,0.025,0.069,1.57,403.1,80.1,0.002,4437510
2021/1/13 4:00,2.6,7.57,13.37,3.46,0.028,0.061,1.55,404.3,84.4,0.002,3885200
2021/1/13 8:00,2.5,7.56,13.33,3.58,0.028,0.064,1.58,407,82.6,0.002,4170150
2021/1/13 12:00,3.1,7.59,13.36,3.5,0.032,0.074,1.62,407,82.3,0.002,3939670
2021/1/13 16:00,3.8,7.39,13.39,3.32,0.032,0.055,1.35,404.1,76.4,0.002,3827190
2021/1/13 20:00,3.7,7.34,13.25,3.44,0.027,0.065,1.32,402.4,70.8,0.003,3428870
2021/1/14 0:00,4,7.3,13.13,3.44,0.03,0.065,1.32,402.2,61.8,0.003,3179560
2021/1/14 4:00,3.9,7.28,13.05,3.15,0.034,0.06,1.33,407.5,50.1,0.003,2753180
2021/1/14 8:00,3.6,7.27,13.09,3.26,0.042,0.058,1.35,409.6,48.6,0.005,3921140
2021/1/14 12:00,4,7.27,13.27,3.4,0.036,0.061,1.34,403.7,55.2,0.003,2678520
2021/1/14 16:00,4.9,7.31,13.33,3.29,0.029,0.052,1.3,399.3,51.2,0.003,3363590
2021/1/14 20:00,4.4,7.29,13.26,3.22,0.026,0.045,1.39,400,53.6,0.004,3274820
2021/1/15 0:00,4.2,7.28,13.29,3.22,0.025,0.048,1.28,399.7,51.4,0.003,3386130
2021/1/15 4:00,4.1,7.25,13.25,3.36,0.025,0.057,1.28,400.4,53,0.003,3159890
2021/1/15 8:00,4.2,7.28,13.2,3.14,0.027,0.051,1.26,400.5,47.8,0.003,2629580
2021/1/15 12:00,4.8,7.31,13.25,3.14,0.026,0.049,1.28,398.5,41.2,0.003,2855030
2021/1/15 16:00,6,7.36,13.38,3.34,0.035,0.043,1.27,398.4,40.5,0.003,2838200
2021/1/15 20:00,4.9,7.29,13.31,3.12,0.029,0.04,1.34,397.6,48.4,0.003,3269150
2021/1/16 0:00,4.9,7.3,13.18,3.33,0.025,0.053,1.28,396.3,61,0.003,3268090
2021/1/16 4:00,4.8,7.29,13.12,3.23,0.025,0.063,1.29,397.1,67.8,0.003,4049570
2021/1/16 8:00,4.8,7.28,13.05,3.68,0.025,0.075,1.37,396.6,86.4,0.004,4831490
2021/1/16 12:00,5.2,7.31,13.06,3.3,0.025,0.072,1.35,397.6,68.2,0.004,3848080
2021/1/16 16:00,5.2,7.29,13.01,3.58,0.025,0.066,1.3,394.2,85,0.003,4227860
2021/1/16 20:00,5.1,7.27,12.88,3.82,0.073,0.082,1.46,406.9,90.9,0.003,4777170
2021/1/17 0:00,4.9,7.27,12.81,3.68,0.034,0.088,1.34,399,98.9,0.003,5297180
2021/1/17 4:00,4.7,7.26,12.77,3.67,0.032,0.082,1.36,398.2,95.4,0.004,5947450
2021/1/17 8:00,4.5,7.29,12.82,3.66,0.025,0.072,1.39,397.9,77.8,0.004,4725900
2021/1/17 12:00,5.1,7.29,12.77,3.63,0.025,0.081,1.32,402,99.7,0.003,4339570
2021/1/17 16:00,5.2,7.28,12.84,3.79,0.025,0.071,1.34,402.4,95.8,0.003,4534300
2021/1/17 20:00,5.1,7.29,12.76,3.55,0.025,0.07,1.28,403.2,88.4,0.003,4491060
2021/1/18 0:00,4.8,7.28,12.73,3.5,0.025,0.065,1.29,404.4,76.2,0.003,4184580
2021/1/18 4:00,4.6,7.27,12.69,3.38,0.025,0.062,1.26,403.2,82.8,0.003,3608490
2021/1/18 8:00,4.4,7.29,12.7,3.26,0.025,0.053,1.29,398,44.2,0.003,2707560
2021/1/18 12:00,5.1,7.34,12.78,3.93,0.337,0.072,2.4,477.8,48.3,0.004,4574990
2021/1/18 16:00,5.5,7.7,12.87,3.93,0.388,0.066,2.6,474.9,47.9,0.006,3491830
2021/1/18 20:00,5.5,7.79,12.69,3.92,0.42,0.074,2.72,484.9,42.4,0.008,3099330
2021/1/19 0:00,5.6,7.75,12.46,3.92,0.442,0.077,2.83,490.4,42.2,0.008,3004150
2021/1/19 4:00,5.1,7.81,12.55,4.31,0.51,0.087,3.21,519.1,39.9,0.009,3761200
2021/1/19 8:00,5,7.88,12.79,4.74,0.562,0.08,3.44,541.1,34.7,0.01,3924070
