date,temperature,pH,oxygen,permanganate,NH,TP,TN,conductivity,turbidity,chla,density
2021-1-1 0:00,4.6,8.2,12.34,6.13,0.089,0.127,1.52,460.3,148.3,0.001,9183910.0
2021-1-1 4:00,4.4,8.19,12.36,6.3,0.034,0.172,1.0,427.2,176.9,0.002,9647630.0
2021-1-1 8:00,4.2,8.23,12.35,5.25,0.156,0.085,1.88,498.3,108.6,0.001,5592200.0
2021-1-1 12:00,4.5,8.23,12.42,5.36,0.166,0.095,1.94,494.7,111.2,0.001,5602850.0
2021-1-1 16:00,5.0,8.22,12.38,5.79,0.036,0.107,1.04,422.5,137.6,0.001,6118320.0
2021-1-1 20:00,4.6,8.19,12.16,5.41,0.051,0.101,1.08,427.6,111.7,0.001,2049430.0
2021-1-2 0:00,4.8,8.07,11.42,5.08,0.061,0.027,1.12,427.8,87.9,0.001,1645330.0
2021-1-2 4:00,4.8,8.03,10.96,5.31,0.026,-1.0,0.94,418.3,90.1,0.001,1618550.0
2021-1-2 8:00,4.8,8.0,11.11,5.31,0.039,0.064,0.9,392.7,104.8,0.002,2244440.0
2021-1-2 12:00,5.2,8.01,11.26,5.06,0.048,0.069,0.92,396.1,92.5,0.002,2011230.0
2021-1-2 16:00,6.4,8.16,12.28,4.51,0.137,0.059,1.76,399.4,82.7,0.002,2305630.0
2021-1-2 20:00,5.4,8.19,12.55,4.92,0.075,0.044,1.24,420.6,75.5,0.001,1940600.0
2021-1-3 0:00,5.0,8.19,12.27,4.92,0.063,0.044,1.24,419.5,77.7,0.001,1643140.0
2021-1-3 4:00,5.1,8.17,12.3,4.84,0.062,0.064,1.11,418.2,75.1,0.001,3109600.0
2021-1-3 8:00,5.0,8.17,12.36,4.79,0.062,0.058,1.06,415.5,76.6,0.001,1521940.0
2021-1-3 12:00,5.4,8.18,12.37,4.77,0.067,0.066,0.99,415.4,73.8,0.001,1686160.0
2021-1-3 16:00,5.8,8.22,12.45,4.33,0.112,0.054,1.43,455.7,48.9,0.001,1040420.0
2021-1-3 20:00,5.8,8.23,12.44,4.37,0.147,0.061,1.7,467.7,43.8,0.001,1005750.0
2021-1-4 0:00,5.8,8.24,12.42,4.37,0.161,0.061,1.7,485.8,38.0,0.002,1013810.0
2021-1-4 4:00,5.7,8.25,12.42,4.38,0.161,0.045,1.96,490.2,35.9,0.002,6216210.0
2021-1-4 8:00,5.5,8.24,12.31,4.37,0.159,0.049,1.75,479.3,32.9,0.001,870321.0
2021-1-4 12:00,5.7,8.24,12.28,4.26,0.145,0.06,1.67,462.8,36.1,0.001,769574.0
2021-1-4 16:00,5.9,8.22,12.2,4.28,0.129,0.049,1.52,455.4,35.7,0.001,845581.0
2021-1-4 20:00,6.0,8.24,12.43,4.29,0.149,0.046,1.71,468.5,28.5,0.002,693724.0
2021-1-5 0:00,6.1,8.25,12.4,4.29,0.155,0.045,1.74,469.4,27.0,0.002,840430.0
2021-1-5 4:00,6.1,8.24,12.37,4.27,0.154,0.055,1.74,469.5,27.2,0.002,2276330.0
2021-1-5 8:00,6.2,8.22,12.34,4.18,0.132,0.049,1.57,457.2,34.3,0.001,1003530.0
2021-1-5 12:00,6.3,8.21,12.33,4.45,0.127,0.057,1.6,455.9,52.4,0.001,1105320.0
2021-1-5 16:00,6.5,8.2,12.31,4.68,0.116,0.057,1.49,449.0,52.5,0.001,1337290.0
2021-1-5 20:00,6.4,8.23,12.32,5.03,0.131,0.075,1.76,467.4,74.2,0.002,1764010.0
2021-1-6 0:00,6.3,8.24,12.29,5.03,0.148,0.075,1.76,477.2,65.2,0.002,1619920.0
2021-1-6 4:00,6.3,8.25,12.26,4.79,0.155,0.062,1.97,488.8,61.9,0.002,1546470.0
2021-1-6 8:00,6.3,8.25,12.18,4.7,0.154,0.064,1.97,492.2,51.3,0.002,1519160.0
2021-1-6 12:00,6.3,8.25,12.17,4.46,0.152,0.058,1.94,481.9,42.7,0.002,1266610.0
