date,temperature,pH,oxygen,permanganate,NH,TP,TN,conductivity,turbidity,chla,density
2021/1/1 0:00,3.6,8.43,13.14,5.41,0.025,0.122,1.86,400.4,132.2,0.001,5227082
2021/1/1 4:00,3.4,8.39,13.11,5.13,0.025,0.115,1.94,404.2,120,0.001,5043906
2021/1/1 8:00,3.3,8.4,13.07,4.91,0.066,0.086,2.26,427.8,93.8,0.001,3494253
2021/1/1 12:00,3.6,8.4,13.18,4.61,0.084,0.09,2.52,438.9,98.4,0.001,4387129
2021/1/1 16:00,4,8.42,13.18,4.53,0.092,0.076,2.5,439.8,84.5,0.001,3552556
2021/1/1 20:00,3.8,8.42,13.06,4.48,0.076,0.076,2.27,425,74.5,0.001,2748809
2021/1/2 0:00,4.4,8.32,11.96,4.27,0.063,0.071,2.06,420.6,65.2,0.001,2420536
2021/1/2 4:00,4.1,8.32,12.23,4.49,0.057,0.064,1.96,415.9,62.9,0.001,2459534
2021/1/2 8:00,4.6,8.3,11.77,4.34,0.07,0.061,2.02,415.2,59.1,0.003,3120284
2021/1/2 12:00,4.7,8.34,12.31,4.01,0.084,0.054,2.15,427.7,51.6,0.002,2259506
2021/1/2 16:00,4.7,8.43,13.06,4.06,0.088,0.057,-1,425.7,52.7,0.001,2390667
2021/1/2 20:00,4.3,8.41,12.96,4,0.095,0.054,2.24,429.5,51,0.001,2150755
2021/1/3 0:00,4.2,8.4,13.02,4,0.095,0.054,2.24,427.9,52.7,0.001,2537244
2021/1/3 4:00,3.9,8.4,12.98,3.87,0.117,0.053,2.4,442.4,46.5,0.001,2023810
2021/1/3 8:00,4,8.38,12.98,4.15,0.078,0.053,1.91,416.4,53.8,0.001,2512206
2021/1/3 12:00,4.4,8.39,13.16,3.97,0.104,0.054,2.17,433,49.5,0.001,2157199
2021/1/3 16:00,4.8,8.42,13.2,3.98,0.109,0.055,2.23,434.6,49.5,0.001,2231845
2021/1/3 20:00,4.8,8.44,13.21,3.89,0.187,0.054,2.9,459.1,39,0.002,2515226
2021/1/4 0:00,4.8,8.45,13.15,3.89,0.187,0.054,2.9,448.1,40,0.002,2447887
2021/1/4 4:00,4.9,8.44,13.17,3.93,0.252,0.052,2.99,444,32.1,0.001,2032306
2021/1/4 8:00,4.9,8.43,12.95,3.96,0.225,0.048,2.69,431.1,31.3,0.001,1806157
2021/1/4 12:00,5.5,8.46,13.08,3.93,0.21,0.054,2.78,431.2,31.5,0.001,2247315
2021/1/4 16:00,5.5,8.47,13.16,3.79,0.202,0.047,2.77,433.6,30,0.001,1973376
2021/1/4 20:00,5.3,8.41,12.97,-1,0.128,0.054,-1,417.8,39.4,0.001,2167190
2021/1/5 0:00,5.6,8.41,12.65,-1,0.128,0.054,-1,410.7,40,0.001,2527340
2021/1/5 4:00,5.3,8.36,12.76,3.98,0.076,0.05,1.76,393.4,47.5,0.001,2381399
2021/1/5 8:00,5.3,8.37,12.79,4.11,0.064,0.045,1.65,392.9,48.4,0.001,2457221
2021/1/5 12:00,5.5,8.41,12.95,4.2,0.057,0.046,1.72,401.2,50.4,0.002,3125267
2021/1/5 16:00,5.5,8.33,12.84,4.32,0.045,0.055,1.61,385.1,64.6,0.001,3207271
2021/1/5 20:00,5.5,8.33,12.82,4.25,0.048,0.058,1.73,386.9,69.7,0.001,3479806
2021/1/6 0:00,5.4,8.34,12.77,4.25,0.048,0.058,1.73,408,54.3,0.001,3181530
2021/1/6 4:00,5.4,8.42,12.77,3.97,0.147,0.05,2.54,430.1,34.1,0.002,2828743
2021/1/6 8:00,5.3,8.39,12.72,3.98,0.157,0.045,2.4,425.1,32.9,0.001,2527591
2021/1/6 12:00,5.4,8.42,12.79,3.79,0.144,0.042,2.46,438.1,25.5,0.002,2262964
2021/1/6 16:00,5.3,8.41,12.87,3.8,0.113,0.046,2.35,435.9,30.9,0.002,2747585
2021/1/6 20:00,5.3,8.4,12.8,3.86,0.116,0.045,2.36,436.1,34.2,0.003,2592919
2021/1/7 0:00,5,8.39,12.74,3.86,0.116,0.045,2.36,425.9,59.4,0.001,3116855
2021/1/7 4:00,4.7,8.44,12.95,4.52,0.075,0.066,2.6,454.1,78.1,0.003,4605651
2021/1/7 8:00,4.2,8.4,12.99,4.95,0.076,0.084,2.53,441.9,105.9,0.001,4855911
