date,temperature,pH,oxygen,permanganate,NH,TP,TN,conductivity,turbidity,chla,density
2021-1-1 0:00,2.7,7.49,12.44,5.0,0.025,0.059,-1.0,348.5,142.2,0.001,4089990.0
2021-1-1 4:00,2.5,7.49,12.46,4.96,0.025,0.072,-1.0,350.1,137.3,0.001,3961690.0
2021-1-1 8:00,2.2,7.48,12.48,4.55,0.025,0.065,-1.0,351.0,135.1,0.001,3675290.0
2021-1-1 12:00,2.8,7.48,12.5,4.36,0.025,0.056,-1.0,349.7,131.5,0.001,3364830.0
2021-1-1 16:00,4.6,7.49,12.3,4.25,0.025,0.047,-1.0,347.2,93.6,0.001,2746410.0
2021-1-1 20:00,4.5,7.5,12.24,4.28,0.025,0.058,-1.0,348.1,111.6,0.002,3212670.0
2021-1-2 0:00,4.3,7.49,12.22,4.28,0.025,0.053,-1.0,348.1,103.8,0.002,3602160.0
2021-1-2 4:00,4.5,7.49,12.19,3.84,0.025,0.054,-1.0,349.0,95.8,0.006,4225130.0
2021-1-2 8:00,4.5,7.48,12.05,3.99,0.025,0.047,-1.0,348.6,91.0,0.001,2719130.0
2021-1-2 12:00,4.5,7.5,12.28,3.84,0.025,0.05,-1.0,348.9,91.2,0.001,5637370.0
2021-1-2 16:00,5.1,7.53,12.34,3.74,0.025,0.032,-1.0,345.2,74.1,0.001,2453280.0
2021-1-2 20:00,4.6,7.51,12.19,3.58,0.025,0.034,-1.0,349.3,73.6,0.0005,1980340.0
2021-1-3 0:00,4.5,7.49,12.13,3.58,0.025,0.034,-1.0,349.0,81.8,0.0005,2209660.0
2021-1-3 4:00,3.8,7.48,12.18,3.55,0.025,0.032,-1.0,349.7,84.9,0.001,2325340.0
2021-1-3 8:00,3.9,7.47,12.06,3.66,0.025,0.03,-1.0,350.5,74.9,0.0005,2489490.0
2021-1-3 12:00,4.1,7.46,12.24,3.76,0.025,0.03,-1.0,349.2,80.4,0.0004,2486330.0
2021-1-3 16:00,4.9,7.43,12.19,3.74,0.025,0.038,-1.0,350.6,90.0,0.001,2553510.0
2021-1-3 20:00,5.0,7.44,12.12,3.57,0.025,0.035,-1.0,350.9,88.9,0.001,2694950.0
2021-1-4 0:00,5.5,7.41,11.87,3.57,0.025,0.035,-1.0,351.4,84.1,0.002,2768570.0
2021-1-4 4:00,5.2,7.43,11.96,3.6,0.025,0.037,-1.0,350.8,86.2,0.001,2632380.0
2021-1-4 8:00,5.6,7.43,11.77,3.61,0.025,0.038,-1.0,351.2,82.7,0.002,2877390.0
2021-1-4 12:00,6.2,7.46,11.83,3.61,0.025,0.038,-1.0,349.3,83.0,0.002,2849130.0
2021-1-4 16:00,6.5,7.45,11.77,3.47,0.025,0.035,-1.0,350.4,83.1,0.002,2552540.0
2021-1-4 20:00,6.1,7.45,11.83,3.45,0.025,0.03,-1.0,350.9,75.1,0.002,2515690.0
2021-1-5 0:00,6.0,7.45,11.85,3.45,0.025,0.038,-1.0,350.3,80.4,0.001,2516530.0
2021-1-5 4:00,6.1,7.46,11.78,3.44,0.025,0.033,-1.0,351.0,76.2,0.001,2485420.0
2021-1-5 8:00,6.0,7.46,11.75,3.64,0.025,0.032,-1.0,351.8,83.4,0.001,2692350.0
2021-1-5 12:00,6.2,7.48,11.75,3.54,0.025,0.038,-1.0,352.5,80.3,0.001,2598840.0
2021-1-5 16:00,6.3,7.48,11.74,3.61,0.025,0.036,0.39,353.9,81.2,0.002,2714410.0
2021-1-5 20:00,6.2,7.5,11.65,3.69,0.025,0.045,0.39,355.3,81.2,0.002,2814210.0
2021-1-6 0:00,6.1,7.51,11.61,3.69,0.025,0.037,0.4,356.1,73.4,0.002,2484680.0
2021-1-6 4:00,5.9,7.51,11.56,3.52,0.025,0.034,0.39,358.6,61.1,0.002,2370070.0
2021-1-6 8:00,5.9,7.5,11.49,3.33,0.025,0.032,0.39,358.5,60.6,0.002,2398070.0
2021-1-6 12:00,6.3,7.5,11.37,3.48,0.025,0.028,0.38,360.5,56.9,0.002,2545320.0
2021-1-6 16:00,5.9,7.54,11.56,3.26,0.025,0.031,0.39,360.0,54.2,0.002,2298720.0
2021-1-6 20:00,5.7,7.52,11.55,3.24,0.025,0.032,0.41,360.1,56.2,0.002,2253450.0
2021-1-7 0:00,5.5,7.51,11.61,3.24,0.025,0.035,0.44,362.1,61.4,0.002,2416220.0
2021-1-7 4:00,5.1,7.53,11.67,4.54,0.025,0.041,0.46,365.1,90.6,0.002,3365840.0
2021-1-7 8:00,4.5,7.52,11.8,4.99,0.025,0.04,0.52,367.6,111.3,0.002,3894760.0
2021-1-7 12:00,4.1,7.52,11.99,6.3,0.025,0.053,0.48,367.4,161.1,0.002,4838010.0
2021-1-7 16:00,3.8,7.51,12.12,6.42,0.025,0.068,0.37,367.5,177.0,0.002,5205550.0
2021-1-7 20:00,3.2,7.52,12.21,5.16,0.025,0.063,-1.0,373.3,133.2,0.002,4166380.0
2021-1-8 0:00,2.5,7.51,12.36,5.16,0.025,0.075,-1.0,374.1,178.7,0.002,5401120.0
2021-1-8 4:00,1.8,7.5,12.58,6.96,-1.0,-1.0,-1.0,374.8,194.8,0.002,5769010.0
2021-1-8 8:00,1.3,7.5,12.71,6.63,-1.0,-1.0,-1.0,369.4,177.3,0.002,5186120.0
