date,temperature,pH,oxygen,permanganate,NH,TP,TN,conductivity,turbidity,chla,density
2021-1-1 0:00,2.2,8.31,10.3,4.5,0.049,0.069,1.12,420.3,70.8,0.015,6519130.0
2021-1-1 4:00,2.0,8.31,10.31,4.24,0.034,0.073,1.03,422.2,56.7,0.013,6381200.0
2021-1-1 8:00,1.7,8.31,10.32,3.84,0.025,0.049,1.09,422.0,45.1,0.014,6042520.0
2021-1-1 12:00,2.3,8.32,10.4,3.85,0.025,0.051,0.97,420.3,48.1,0.011,5730700.0
2021-1-1 16:00,2.8,8.28,10.36,4.54,0.058,0.071,1.35,419.3,80.1,0.01,6094550.0
2021-1-1 20:00,2.7,8.27,10.34,4.12,0.065,0.068,1.23,419.0,78.3,0.013,6778860.0
2021-1-2 0:00,2.6,8.27,10.23,4.12,0.065,0.068,1.23,421.3,66.1,0.011,6477660.0
2021-1-2 4:00,3.2,8.27,10.07,3.54,0.059,0.053,1.05,426.7,51.0,0.01,5895250.0
2021-1-2 8:00,2.7,8.27,10.24,3.58,0.049,0.05,1.16,423.8,53.7,0.009,5643790.0
2021-1-2 12:00,3.5,8.29,10.11,3.43,0.057,0.048,1.16,429.3,50.8,0.009,5439990.0
2021-1-2 16:00,4.9,8.38,10.07,3.41,0.1,0.057,1.66,496.7,34.8,0.008,4749340.0
2021-1-3 12:00,6.1,8.55,9.82,2.24,0.339,0.075,2.27,482.3,26.2,0.009,4552040.0
2021-1-3 16:00,6.6,8.59,9.88,2.21,0.025,0.077,2.22,475.2,27.1,0.013,4863830.0
2021-1-3 20:00,6.8,8.54,9.64,1.9,0.025,0.074,2.06,442.8,24.5,0.011,4358240.0
2021-1-4 0:00,7.2,8.41,9.23,1.9,0.025,0.074,2.06,429.4,29.5,0.011,4454690.0
2021-1-4 4:00,7.3,8.4,9.17,1.61,0.025,0.073,1.99,424.5,25.3,0.011,4354110.0
2021-1-4 8:00,7.0,8.31,8.98,2.61,0.041,0.074,2.06,414.2,28.2,0.01,4225970.0
2021-1-4 12:00,7.4,8.4,10.19,2.94,0.025,0.074,2.01,413.1,22.5,0.009,4079730.0
2021-1-4 16:00,7.6,8.42,10.47,2.41,0.025,0.075,1.98,408.0,23.4,0.01,4336450.0
2021-1-4 20:00,7.7,8.39,10.36,2.14,0.025,0.073,1.98,404.3,24.6,0.01,4252070.0
2021-1-5 0:00,7.8,8.38,10.27,2.14,0.025,0.073,1.98,400.3,25.3,0.01,4137650.0
2021-1-5 4:00,7.6,8.32,10.12,2.13,0.025,0.073,2.04,395.1,26.9,0.009,4027470.0
2021-1-5 8:00,7.4,8.27,10.07,1.88,0.025,0.073,2.08,392.2,28.0,0.008,4001780.0
2021-1-5 12:00,7.5,8.33,10.24,2.41,0.025,0.076,2.1,391.8,29.6,0.007,4374550.0
2021-1-5 16:00,7.5,8.41,10.48,3.3,0.025,0.07,1.91,400.4,27.2,0.01,4290210.0
2021-1-5 20:00,7.3,8.38,10.35,2.67,0.025,0.071,2.01,395.3,27.4,0.003,8345520.0
2021-1-6 0:00,7.0,8.36,10.29,2.67,0.025,0.071,2.01,394.9,27.2,0.009,4220390.0
2021-1-6 4:00,6.5,8.34,10.34,2.34,0.025,0.067,1.84,399.6,28.6,0.009,4336750.0
2021-1-6 8:00,6.4,8.34,10.32,2.58,0.025,0.064,1.94,401.8,26.2,0.01,4375320.0
2021-1-6 12:00,6.4,8.38,10.4,2.4,0.025,0.068,1.84,401.4,25.8,0.01,4420760.0
2021-1-6 16:00,6.5,8.59,10.84,3.03,0.025,0.058,1.74,436.0,20.6,0.014,4721390.0
2021-1-6 20:00,6.5,8.35,10.28,1.92,0.025,0.074,2.01,398.5,26.1,0.009,4183130.0
2021-1-7 0:00,6.4,8.34,10.3,1.92,0.025,0.074,2.01,397.2,21.9,0.005,10296500.0
2021-1-7 4:00,5.6,8.35,10.43,1.55,0.025,0.067,2.17,399.5,25.1,0.005,11051300.0
2021-1-7 8:00,4.9,8.38,10.59,1.92,0.025,0.072,2.4,402.2,30.0,0.002,9677330.0
2021-1-7 12:00,4.0,8.68,11.22,2.54,0.025,0.053,2.34,432.5,20.4,0.003,7296630.0
2021-1-7 16:00,3.8,8.62,11.06,2.44,0.025,0.06,2.28,452.8,31.2,0.016,6820300.0
2021-1-7 20:00,3.1,8.47,10.92,2.1,0.025,0.065,2.43,407.3,39.7,0.002,9793690.0
2021-1-8 0:00,2.4,8.61,11.09,2.1,0.025,0.065,2.43,466.3,26.5,0.018,5974880.0
2021-1-8 4:00,1.8,8.44,11.1,2.42,0.025,0.074,2.49,419.2,52.7,0.016,6518470.0
2021-1-8 8:00,1.1,8.41,11.2,2.5,0.042,0.087,2.72,405.0,52.1,0.011,6016170.0
2021-1-8 20:00,1.5,8.44,11.41,3.21,0.035,0.086,2.16,430.9,61.0,0.017,6746220.0
2021-1-9 0:00,1.1,8.43,11.38,3.21,0.035,0.086,2.16,417.6,49.9,0.016,6506150.0
2021-1-9 4:00,0.8,8.4,11.39,2.28,0.029,0.077,2.21,407.2,46.3,0.013,6257180.0
2021-1-9 8:00,1.2,8.38,11.24,1.89,0.07,0.086,2.37,405.2,44.1,0.009,5518210.0
2021-1-9 12:00,2.9,8.41,10.94,1.59,0.056,0.079,2.26,407.0,32.7,0.007,4921900.0
2021-1-9 16:00,4.0,8.38,10.74,1.78,0.068,0.083,2.26,406.9,40.9,0.008,4848650.0
2021-1-9 20:00,3.6,8.39,10.82,1.69,0.064,0.08,2.24,407.0,35.8,0.009,5100860.0
2021-1-10 0:00,3.0,8.41,10.92,1.69,0.064,0.08,2.24,411.2,31.4,0.01,5127650.0
2021-1-10 4:00,3.1,8.41,10.78,1.49,0.053,0.074,2.0,406.6,27.6,0.009,4966210.0
2021-1-10 8:00,2.7,8.4,10.77,1.3,0.055,0.071,2.13,406.1,26.2,0.008,4844190.0
2021-1-10 12:00,3.7,8.45,10.9,1.6,0.05,0.072,2.13,402.2,25.6,0.005,4415950.0
2021-1-10 16:00,4.7,8.6,11.18,1.58,0.035,0.072,1.97,406.0,24.5,0.009,4614200.0
2021-1-10 20:00,4.6,8.53,10.96,1.55,0.034,0.071,2.06,406.5,25.7,0.011,4909680.0
2021-1-11 0:00,3.6,8.48,11.12,1.55,0.034,0.071,2.06,404.3,27.8,0.01,5080420.0
2021-1-11 4:00,4.0,8.52,11.03,1.63,0.026,0.07,2.04,407.1,24.6,0.011,4951300.0
2021-1-11 8:00,4.0,8.48,10.82,1.81,0.037,0.069,2.16,410.3,25.8,0.011,4743430.0
2021-1-11 12:00,4.5,8.56,11.02,1.64,0.091,0.073,2.13,418.8,22.5,0.008,4456530.0
2021-1-11 16:00,5.0,8.58,11.04,2.07,0.064,0.088,2.21,413.6,40.7,0.011,4982410.0
2021-1-11 20:00,4.6,8.57,10.99,2.28,0.103,0.09,2.32,419.1,44.7,0.011,5168180.0
2021-1-12 0:00,4.5,8.5,10.8,2.28,0.103,0.09,2.32,416.0,29.9,0.01,4867680.0
2021-1-12 4:00,3.7,8.53,10.95,1.88,0.036,0.077,2.11,413.6,32.9,0.012,5195240.0
2021-1-12 8:00,3.8,8.53,10.86,1.89,0.081,0.08,2.27,417.4,30.1,0.013,5070780.0
2021-1-12 12:00,4.8,8.37,10.57,1.72,0.102,0.084,2.24,402.2,35.5,0.007,4674530.0
2021-1-12 16:00,5.2,8.43,10.75,1.7,0.111,0.082,2.22,407.5,32.9,0.008,4479530.0
2021-1-12 20:00,5.1,8.47,10.85,1.66,0.088,0.078,2.18,405.7,27.9,0.009,4476510.0
2021-1-13 0:00,5.4,8.43,10.64,1.66,0.088,0.078,2.18,398.7,24.4,0.008,4343610.0
2021-1-13 4:00,5.4,8.42,10.58,1.56,0.045,0.073,2.04,396.7,23.8,0.008,4326990.0
2021-1-13 8:00,4.9,8.33,10.37,1.43,0.058,0.076,2.11,393.5,26.1,0.007,4254410.0
2021-1-13 12:00,5.7,8.39,11.14,1.24,0.049,0.074,2.08,394.4,25.7,0.007,4288580.0
2021-1-13 16:00,6.2,8.43,12.18,1.52,0.051,0.074,2.02,398.9,25.6,0.007,3939040.0
2021-1-13 20:00,6.2,8.38,11.98,1.59,0.056,0.072,2.06,397.2,24.4,0.006,3909320.0
2021-1-14 0:00,5.8,8.37,11.98,1.59,0.056,0.072,2.06,399.9,24.9,0.006,4016320.0
2021-1-14 4:00,5.9,8.41,12.02,1.24,0.044,0.071,2.05,397.5,23.5,0.008,4301020.0
2021-1-14 8:00,5.8,8.47,12.24,1.63,0.03,0.071,2.12,396.4,23.3,0.01,4509420.0
2021-1-14 12:00,6.6,8.52,12.5,1.47,0.026,0.071,2.19,395.2,22.4,0.008,4092070.0
2021-1-14 16:00,7.4,8.56,12.72,1.57,0.025,0.07,2.18,394.4,22.3,0.007,3796770.0
2021-1-14 20:00,7.2,8.59,12.75,1.69,0.025,0.07,2.15,394.7,21.9,0.011,4221930.0
2021-1-15 0:00,6.8,8.63,12.91,1.69,0.025,0.07,2.15,397.0,21.7,0.015,4778400.0
2021-1-15 4:00,6.8,8.6,12.82,1.61,0.025,0.069,2.16,398.6,21.4,0.017,5075840.0
2021-1-15 8:00,6.5,8.55,12.58,1.73,0.025,0.068,2.1,403.5,21.8,0.014,4627950.0
2021-1-15 12:00,7.0,8.64,12.99,1.8,0.025,0.068,2.03,402.6,21.9,0.012,4417580.0
2021-1-15 16:00,8.0,8.7,13.33,1.74,0.025,0.068,2.05,401.7,21.2,0.014,4474400.0
2021-1-15 20:00,7.6,8.67,12.89,1.8,0.05,0.072,2.15,409.6,24.4,0.003,12141000.0
2021-1-16 0:00,7.2,8.62,12.39,1.8,0.05,0.072,2.15,411.6,29.3,0.015,4715070.0
2021-1-16 4:00,6.9,8.62,12.19,1.69,0.025,0.067,2.13,404.9,24.5,0.006,10644700.0
2021-1-16 8:00,6.5,8.57,12.0,1.83,0.025,0.069,2.13,409.2,23.7,0.016,5044460.0
2021-1-16 12:00,6.8,8.69,12.52,1.93,0.025,0.069,2.09,409.5,25.7,0.012,4601740.0
2021-1-16 16:00,7.0,8.83,13.0,2.24,0.025,0.067,2.01,397.3,24.8,0.02,5441430.0
2021-1-16 20:00,6.5,8.93,13.07,2.68,0.025,0.063,1.92,401.0,24.9,0.003,10360500.0
2021-1-17 0:00,6.2,8.93,12.86,2.68,0.025,0.063,1.92,399.0,24.0,0.032,6455850.0
2021-1-17 4:00,5.6,9.0,12.92,2.68,0.025,0.058,1.89,402.8,22.9,0.034,6920340.0
2021-1-17 8:00,5.3,9.0,12.86,2.79,0.025,0.059,1.84,403.1,22.9,0.039,7134350.0
2021-1-17 12:00,6.0,8.92,13.43,2.54,0.025,0.065,2.04,405.4,22.6,0.024,5981790.0
2021-1-17 16:00,6.1,9.28,14.78,3.96,0.025,0.066,1.81,401.1,29.7,0.038,7351350.0
2021-1-17 20:00,5.7,9.24,14.36,4.09,0.025,0.059,1.64,399.1,26.7,0.043,7766500.0
2021-1-18 0:00,5.3,9.2,14.34,4.09,0.025,0.059,1.64,391.5,30.7,0.051,8499200.0
